,VNO
2000-01-03,2151220168
2000-01-04,2151220168
2000-01-05,2207599403
2000-01-06,2235789020
2000-01-07,2251645680
2000-01-10,2271906967
2000-01-11,2247241052
2000-01-12,2223456062
2000-01-13,2219051435
2000-01-14,2182933488
2000-01-18,2211123105
2000-01-19,2199671073
2000-01-20,2179409785
2000-01-21,2162672200
2000-01-24,2090436306
2000-01-25,2062246689
2000-01-26,2066651316
2000-01-27,2058722986
2000-01-28,2058722986
2000-01-31,2018200412
2000-02-01,2046390029
2000-02-02,2046390029
2000-02-03,2013795784
2000-02-04,1974154135
2000-02-07,1997939124
2000-02-08,1993534497
2000-02-09,1993534497
2000-02-10,1982082465
2000-02-11,1982082465
2000-02-14,1969749507
2000-02-15,1997939124
2000-02-16,1974154135
2000-02-17,1990010794
2000-02-18,1974154135
2000-02-22,1977677837
2000-02-23,1965344879
2000-02-24,1957416549
2000-02-25,1941559890
2000-02-28,1953892847
2000-02-29,1971511358
2000-03-01,1985606167
2000-03-02,1990010794
2000-03-03,1977677837
2000-03-06,1993534497
2000-03-07,1997939124
2000-03-08,1985606167
2000-03-09,1965344879
2000-03-10,1965344879
2000-03-13,1925703230
2000-03-14,1957416549
2000-03-15,1982082465
2000-03-16,2049913731
2000-03-17,2049913731
2000-03-20,2062246689
2000-03-21,2086912604
2000-03-22,2106292966
2000-03-23,2143291838
2000-03-24,2086912604
2000-03-27,2123030551
2000-03-28,2126554253
2000-03-29,2134482583
2000-03-30,2162672200
2000-03-31,2159648429
2000-04-03,2171984242
2000-04-04,2175508760
2000-04-05,2200180386
2000-04-06,2195774738
2000-04-07,2216040717
2000-04-10,2223970883
2000-04-11,2272433006
2000-04-12,2296223503
2000-04-13,2231901048
2000-04-14,2236306696
2000-04-17,2223970883
2000-04-18,2223970883
2000-04-19,2223970883
2000-04-20,2228376530
2000-04-24,2247761380
2000-04-25,2228376530
2000-04-26,2256572675
2000-04-27,2244236861
2000-04-28,2223970883
2000-05-01,2284768819
2000-05-02,2352615791
2000-05-03,2344685626
2000-05-04,2320895129
2000-05-05,2300629150
2000-05-08,2308559316
2000-05-09,2312964963
2000-05-10,2312964963
2000-05-11,2316489481
2000-05-12,2316489481
2000-05-15,2312964963
2000-05-16,2316489481
2000-05-17,2308559316
2000-05-18,2300629150
2000-05-19,2292698985
2000-05-22,2284768819
2000-05-23,2256572675
2000-05-24,2244236861
2000-05-25,2247761380
2000-05-26,2272433006
2000-05-30,2256572675
2000-05-31,2252167027
2000-06-01,2256572675
2000-06-02,2260097193
2000-06-05,2268027358
2000-06-06,2280363171
2000-06-07,2284768819
2000-06-08,2284768819
2000-06-09,2312964963
2000-06-12,2308559316
2000-06-13,2312964963
2000-06-14,2349091273
2000-06-15,2344685626
2000-06-16,2341161108
2000-06-19,2316489481
2000-06-20,2320895129
2000-06-21,2324419647
2000-06-22,2341161108
2000-06-23,2324419647
2000-06-26,2324419647
2000-06-27,2316489481
2000-06-28,2320895129
2000-06-29,2328825294
2000-06-30,2244627205
2000-07-03,2293193097
2000-07-05,2341758988
2000-07-06,2394739961
2000-07-07,2390324880
2000-07-10,2390324880
2000-07-11,2382377734
2000-07-12,2382377734
2000-07-13,2376196621
2000-07-14,2380611702
2000-07-17,2385909799
2000-07-18,2398272026
2000-07-19,2398272026
2000-07-20,2430943626
2000-07-21,2454785063
2000-07-24,2462732209
2000-07-25,2489222695
2000-07-26,2533373506
2000-07-27,2550150814
2000-07-28,2541320652
2000-07-31,2525426360
2000-08-01,2632271322
2000-08-02,2630505289
2000-08-03,2608429884
2000-08-04,2573992252
2000-08-07,2573992252
2000-08-08,2592535592
2000-08-09,2592535592
2000-08-10,2592535592
2000-08-11,2608429884
2000-08-14,2600482738
2000-08-15,2592535592
2000-08-16,2583705430
2000-08-17,2572226219
2000-08-18,2547501765
2000-08-21,2547501765
2000-08-22,2539554619
2000-08-23,2511298101
2000-08-24,2459200144
2000-08-25,2454785063
2000-08-28,2459200144
2000-08-29,2422996480
2000-08-30,2402687107
2000-08-31,2390324880
2000-09-01,2354121215
2000-09-05,2396505993
2000-09-06,2390324880
2000-09-07,2430943626
2000-09-08,2513064133
2000-09-11,2517479214
2000-09-12,2509532068
2000-09-13,2498935874
2000-09-14,2479509517
2000-09-15,2495403809
2000-09-18,2434475690
2000-09-19,2442422836
2000-09-20,2442422836
2000-09-21,2426528545
2000-09-22,2459200144
2000-09-25,2414166318
2000-09-26,2398272026
2000-09-27,2453019031
2000-09-28,2438890772
2000-09-29,2398272026
2000-10-02,2299629008
2000-10-03,2287232086
2000-10-04,2242957365
2000-10-05,2190713195
2000-10-06,2263323737
2000-10-09,2279262637
2000-10-10,2247384837
2000-10-11,2230560443
2000-10-12,2227018466
2000-10-13,2227018466
2000-10-16,2242957365
2000-10-17,2267751209
2000-10-18,2271293187
2000-10-19,2255354287
2000-10-20,2230560443
2000-10-23,2239415388
2000-10-24,2211079566
2000-10-25,2162377373
2000-10-26,2182743745
2000-10-27,2214621544
2000-10-30,2227018466
2000-10-31,2255354287
2000-11-01,2287232086
2000-11-02,2267751209
2000-11-03,2255354287
2000-11-06,2258896265
2000-11-07,2258896265
2000-11-08,2271293187
2000-11-09,2267751209
2000-11-10,2267751209
2000-11-13,2275720659
2000-11-14,2275720659
2000-11-15,2287232086
2000-11-16,2287232086
2000-11-17,2287232086
2000-11-20,2319995380
2000-11-21,2316453402
2000-11-22,2316453402
2000-11-24,2316453402
2000-11-27,2324422852
2000-11-28,2340361752
2000-11-29,2356300651
2000-11-30,2392605922
2000-12-01,2389063945
2000-12-04,2401460867
2000-12-05,2441308115
2000-12-06,2458132509
2000-12-07,2461674487
2000-12-08,2449277565
2000-12-11,2458132509
2000-12-12,2445735588
2000-12-13,2466101959
2000-12-14,2453705037
2000-12-15,2474071409
2000-12-18,2505949208
2000-12-19,2510376680
2000-12-20,2502407230
2000-12-21,2469643937
2000-12-22,2461674487
2000-12-26,2461674487
2000-12-27,2469643937
2000-12-28,2522773602
2000-12-29,2482040859
2001-01-02,2441308115
2001-01-03,2449277565
2001-01-04,2441308115
2001-01-05,2417399766
2001-01-08,2417399766
2001-01-09,2401460867
2001-01-10,2381094495
2001-01-11,2344789224
2001-01-12,2324422852
2001-01-16,2316453402
2001-01-17,2296087031
2001-01-18,2344789224
2001-01-19,2340361752
2001-01-22,2356300651
2001-01-23,2352758673
2001-01-24,2348331201
2001-01-25,2344789224
2001-01-26,2344789224
2001-01-29,2351873179
2001-01-30,2357186146
2001-01-31,2358071640
2001-02-01,2348331201
2001-02-02,2378438012
2001-02-05,2364270101
2001-02-06,2352758673
2001-02-07,2355415157
2001-02-08,2349216696
2001-02-09,2338590763
2001-02-12,2337705268
2001-02-13,2335048785
2001-02-14,2340361752
2001-02-15,2332392302
2001-02-16,2332392302
2001-02-20,2328850324
2001-02-21,2301399997
2001-02-22,2239415388
2001-02-23,2277491648
2001-02-26,2361613618
2001-02-27,2400575372
2001-02-28,2449277565
2001-03-01,2458132509
2001-03-02,2497094264
2001-03-05,2511262175
2001-03-06,2497094264
2001-03-07,2461674487
2001-03-08,2461674487
2001-03-09,2439537127
2001-03-12,2423598227
2001-03-13,2442193610
2001-03-14,2397033394
2001-03-15,2367812079
2001-03-16,2357186146
2001-03-19,2400575372
2001-03-20,2395262406
2001-03-21,2336819774
2001-03-22,2299629008
2001-03-23,2287232086
2001-03-26,2351873179
2001-03-27,2348331201
