,WAT
2000-01-03,3234251500
2000-01-04,3077249000
2000-01-05,3269577062
2000-01-06,3171450500
2000-01-07,3269577062
2000-01-10,3159675312
2000-01-11,3096874312
2000-01-12,3081174062
2000-01-13,3085099125
2000-01-14,3045848500
2000-01-18,2990897625
2000-01-19,2908471312
2000-01-20,2763244000
2000-01-21,3014448000
2000-01-24,3151825187
2000-01-25,4337194062
2000-01-26,4301868500
2000-01-27,4129165750
2000-01-28,4191966750
2000-01-31,4639423875
2000-02-01,4706149937
2000-02-02,4710075000
2000-02-03,4710075000
2000-02-04,5385185750
2000-02-07,5302759437
2000-02-08,5141831875
2000-02-09,5000529625
2000-02-10,5224258187
2000-02-11,5200707812
2000-02-14,5220333125
2000-02-15,5777692000
2000-02-16,5589289000
2000-02-17,6052446375
2000-02-18,6001420562
2000-02-22,5640314812
2000-02-23,5432286500
2000-02-24,5773766937
2000-02-25,6280100000
2000-02-28,5950394750
2000-02-29,6158423062
2000-03-01,6091697000
2000-03-02,5832642875
2000-03-03,5911144125
2000-03-06,6704006750
2000-03-07,6499903500
2000-03-08,6138797750
2000-03-09,6303650375
2000-03-10,6362526312
2000-03-13,6189823562
2000-03-14,5683490500
2000-03-15,5954319812
2000-03-16,5659940125
2000-03-17,5522562937
2000-03-20,5396960937
2000-03-21,5228183250
2000-03-22,5981795250
2000-03-23,6138797750
2000-03-24,5648164937
2000-03-27,5856193250
2000-03-28,5573588750
2000-03-29,5514712812
2000-03-30,5416586250
2000-03-31,6044279250
2000-04-03,5528691125
2000-04-04,5588182062
2000-04-05,5822179750
2000-04-06,5913399187
2000-04-07,6179125375
2000-04-10,6091872000
2000-04-11,5762688812
2000-04-12,5619910562
2000-04-13,5604046312
2000-04-14,5354184375
2000-04-17,4913951437
2000-04-18,4957578125
2000-04-19,5223304312
2000-04-20,5255032812
2000-04-24,5092424250
2000-04-25,5461268062
2000-04-26,5750790625
2000-04-27,5485064437
2000-04-28,6012550750
2000-05-01,5877704625
2000-05-02,5778553062
2000-05-03,5520759000
2000-05-04,5643706937
2000-05-05,5818213687
2000-05-08,5845976125
2000-05-09,5917365250
2000-05-10,5715096062
2000-05-11,5822179750
2000-05-12,5794417312
2000-05-15,5794417312
2000-05-16,5949093750
2000-05-17,6060143500
2000-05-18,6123600500
2000-05-19,5897534937
2000-05-22,5711130000
2000-05-23,5536623250
2000-05-24,5643706937
2000-05-25,5608012375
2000-05-26,5580249937
2000-05-30,5960991937
2000-05-31,5996686500
2000-06-01,6353632125
2000-06-02,6964405750
2000-06-05,6639188625
2000-06-06,6670917125
2000-06-07,6536071000
2000-06-08,6472614000
2000-06-09,6662985000
2000-06-12,6837491750
2000-06-13,7067523375
2000-06-14,7115116125
2000-06-15,7483959937
2000-06-16,7614840000
2000-06-19,7682263062
2000-06-20,7864701937
2000-06-21,7932125000
2000-06-22,7598975750
2000-06-23,7170641000
2000-06-26,7963853500
2000-06-27,7571213312
2000-06-28,7932125000
2000-06-29,8217681500
2000-06-30,8021278462
2000-07-03,8327434062
2000-07-05,8977889375
2000-07-06,8126676250
2000-07-07,8383646250
2000-07-10,8929707500
2000-07-11,8929707500
2000-07-12,9439632343
2000-07-13,8785161875
2000-07-14,8480010000
2000-07-17,9226829062
2000-07-18,8608495000
2000-07-19,8267206718
2000-07-20,8427812968
2000-07-21,8206979375
2000-07-24,8231070312
2000-07-25,7849630468
2000-07-26,8391676562
2000-07-27,8022282187
2000-07-28,7693039375
2000-07-31,7620766562
2000-08-01,8656676875
2000-08-02,8355540156
2000-08-03,8502093359
2000-08-04,8668722343
2000-08-07,8536222187
2000-08-08,8576373750
2000-08-09,8590426796
2000-08-10,8704858750
2000-08-11,9082283437
2000-08-14,9393458046
2000-08-15,9218798750
2000-08-16,9032093984
2000-08-17,9210768437
2000-08-18,9142510781
2000-08-21,9443647500
2000-08-22,9642397734
2000-08-23,9517927890
2000-08-24,9668496250
2000-08-25,10078042187
2000-08-28,10760618750
2000-08-29,10170390781
2000-08-30,9973648125
2000-08-31,10222587812
2000-09-01,10407285000
2000-09-05,10021830000
2000-09-06,9893345000
2000-09-07,9925466250
2000-09-08,9853193437
2000-09-11,9901375312
2000-09-12,9331223125
2000-09-13,9411526250
2000-09-14,9716678125
2000-09-15,9829102500
2000-09-18,9829102500
2000-09-19,9572132500
2000-09-20,9700617500
2000-09-21,10294860625
2000-09-22,10330997031
2000-09-25,11113952500
2000-09-26,10407285000
2000-09-27,10551830625
2000-09-28,11611831875
2000-09-29,11435165000
2000-10-02,11519691000
2000-10-03,11340712750
2000-10-04,9827533000
2000-10-05,9306869000
2000-10-06,9502118000
2000-10-09,9274327500
2000-10-10,9266192125
2000-10-11,9144161500
2000-10-12,8948912500
2000-10-13,9127890750
2000-10-16,9453305750
2000-10-17,10055323500
2000-10-18,9965834375
2000-10-19,9502118000
2000-10-20,8631632875
2000-10-23,9079078500
2000-10-24,9388222750
2000-10-25,8745528125
2000-10-26,8550279125
2000-10-27,8395707000
2000-10-30,8607226750
2000-10-31,9445170375
2000-11-01,8924506375
2000-11-02,9209244500
2000-11-03,9689231625
2000-11-06,9713637750
2000-11-07,9607877875
2000-11-08,9339410500
2000-11-09,9241786000
2000-11-10,8672309750
2000-11-13,8159781125
2000-11-14,8501466875
2000-11-15,9111620000
2000-11-16,8859423375
2000-11-17,8981454000
2000-11-20,8802475750
2000-11-21,9176703000
2000-11-22,9306869000
2000-11-24,9526524125
2000-11-27,9827533000
2000-11-28,9404493500
2000-11-29,9111620000
2000-11-30,8371300875
2000-12-01,8704851250
2000-12-04,8989589375
2000-12-05,9493982625
2000-12-06,9371952000
2000-12-07,9380087375
2000-12-08,10152948000
2000-12-11,10413280000
2000-12-12,10616664375
2000-12-13,10665476625
2000-12-14,10323790875
2000-12-15,10421415375
2000-12-18,10274978625
2000-12-19,10616664375
2000-12-20,10266843250
2000-12-21,9469576500
2000-12-22,9908886750
2000-12-26,10087865000
2000-12-27,10405144625
2000-12-28,10779371875
2000-12-29,10868861000
2001-01-02,10266843250
2001-01-03,9697367000
2001-01-04,9111620000
2001-01-05,8672309750
2001-01-08,8379436250
2001-01-09,8574685250
2001-01-10,9022130875
2001-01-11,9046537000
2001-01-12,9103484625
2001-01-16,9005860125
2001-01-17,8802475750
2001-01-18,8151645750
2001-01-19,7809960000
2001-01-22,8322488625
2001-01-23,8965183250
2001-01-24,9233650625
2001-01-25,9062807750
2001-01-26,8989589375
2001-01-29,9437035000
2001-01-30,9248294690
2001-01-31,9571105849
2001-02-01,9095999689
2001-02-02,9249595699
2001-02-05,9059553339
2001-02-06,9450051339
2001-02-07,9696065079
