,WEC
2000-01-03,2277898720
2000-01-04,2292240160
2000-01-05,2397410720
2000-01-06,2390240000
2000-01-07,2421313120
2000-01-10,2421313120
2000-01-11,2390240000
2000-01-12,2435654560
2000-01-13,2411752160
2000-01-14,2375898560
2000-01-18,2330484000
2000-01-19,2390240000
2000-01-20,2375898560
2000-01-21,2428483840
2000-01-24,2428483840
2000-01-25,2411752160
2000-01-26,2404581440
2000-01-27,2390240000
2000-01-28,2368727840
2000-01-31,2361557120
2000-02-01,2375898560
2000-02-02,2411752160
2000-02-03,2502581280
2000-02-04,2435654560
2000-02-07,2361557120
2000-02-08,2397410720
2000-02-09,2397410720
2000-02-10,2308971840
2000-02-11,2256386560
2000-02-14,2270728000
2000-02-15,2256386560
2000-02-16,2256386560
2000-02-17,2256386560
2000-02-18,2232484160
2000-02-22,2218142720
2000-02-23,2203801280
2000-02-24,2105801440
2000-02-25,2091460000
2000-02-28,2112972160
2000-02-29,2112972160
2000-03-01,2077118560
2000-03-02,2136874560
2000-03-03,2112972160
2000-03-06,2038874719
2000-03-07,2046045440
2000-03-08,2010191840
2000-03-09,2053216160
2000-03-10,2046045440
2000-03-13,2053216160
2000-03-14,2069947840
2000-03-15,2151216000
2000-03-16,2292240160
2000-03-17,2270728000
2000-03-20,2270728000
2000-03-21,2285069440
2000-03-22,2203801280
2000-03-23,2242045120
2000-03-24,2225313440
2000-03-27,2242045120
2000-03-28,2249215840
2000-03-29,2308971840
2000-03-30,2344825440
2000-03-31,2408752000
2000-04-03,2430496000
2000-04-04,2437744000
2000-04-05,2469152000
2000-04-06,2454656000
2000-04-07,2423248000
2000-04-10,2461904000
2000-04-11,2483648000
2000-04-12,2529552000
2000-04-13,2589952000
2000-04-14,2522304000
2000-04-17,2568208000
2000-04-18,2568208000
2000-04-19,2544048000
2000-04-20,2522304000
2000-04-24,2604448000
2000-04-25,2710752000
2000-04-26,2756656000
2000-04-27,2635856000
2000-04-28,2582704000
2000-05-01,2597200000
2000-05-02,2454656000
2000-05-03,2476400000
2000-05-04,2515056000
2000-05-05,2447408000
2000-05-08,2536800000
2000-05-09,2568208000
2000-05-10,2522304000
2000-05-11,2568208000
2000-05-12,2507808000
2000-05-15,2515056000
2000-05-16,2529552000
2000-05-17,2454656000
2000-05-18,2476400000
2000-05-19,2483648000
2000-05-22,2529552000
2000-05-23,2515056000
2000-05-24,2544048000
2000-05-25,2507808000
2000-05-26,2558544000
2000-05-30,2522304000
2000-05-31,2551296000
2000-06-01,2544048000
2000-06-02,2490896000
2000-06-05,2447408000
2000-06-06,2461904000
2000-06-07,2469152000
2000-06-08,2437744000
2000-06-09,2483648000
2000-06-12,2498144000
2000-06-13,2498144000
2000-06-14,2498144000
2000-06-15,2558544000
2000-06-16,2551296000
