,WHR
2000-01-03,4524653571
2000-01-04,4351163376
2000-01-05,4414849650
2000-01-06,4451450957
2000-01-07,4465359454
2000-01-10,4520261414
2000-01-11,4684967296
2000-01-12,4520261414
2000-01-13,4497568604
2000-01-14,4479267950
2000-01-18,4341647036
2000-01-19,4365071872
2000-01-20,4355555533
2000-01-21,4209150305
2000-01-24,4241359455
2000-01-25,3925856188
2000-01-26,4383372526
2000-01-27,4149856187
2000-01-28,4154248344
2000-01-31,4264052265
2000-02-01,4369464029
2000-02-02,4218666644
2000-02-03,4213542461
2000-02-04,4127163377
2000-02-07,4067137233
2000-02-08,3980758149
2000-02-09,4021751613
2000-02-10,3980758149
2000-02-11,3861437888
2000-02-14,3875346385
2000-02-15,3857045731
2000-02-16,3952941156
2000-02-17,4172548998
2000-02-18,3989542463
2000-02-22,3993934619
2000-02-23,3966849652
2000-02-24,3971241809
2000-02-25,3907555535
2000-02-28,3925856188
2000-02-29,3975633966
2000-03-01,3911947692
2000-03-02,3769934621
2000-03-03,3820444424
2000-03-06,3829228738
2000-03-07,3692339850
2000-03-08,3633045732
2000-03-09,3783843117
2000-03-10,3664522856
2000-03-13,3627921549
2000-03-14,3578143772
2000-03-15,3957333312
2000-03-16,4277960762
2000-03-17,4176941154
2000-03-20,4163764684
2000-03-21,4419973833
2000-03-22,4218666644
2000-03-23,4245751612
2000-03-24,4158640501
2000-03-27,4135947691
2000-03-28,4113254880
2000-03-29,4314562069
2000-03-30,4369464029
2000-03-31,4222755980
2000-04-03,4276773837
2000-04-04,4469797648
2000-04-05,4366803600
2000-04-06,4375446457
2000-04-07,4335113123
2000-04-10,4429464315
2000-04-11,4415779791
2000-04-12,4600880982
2000-04-13,4609523840
2000-04-14,4429464315
2000-04-17,4393452410
2000-04-18,4335113123
2000-04-19,4181702408
2000-04-20,4447470267
2000-04-24,4618886935
2000-04-25,4798946460
2000-04-26,4771577412
2000-04-27,4636892887
2000-04-28,4690910745
2000-05-01,4825595270
2000-05-02,4789583365
2000-05-03,4843601222
2000-05-04,4681547650
2000-05-05,4811910746
2000-05-08,4555505982
2000-05-09,4573511935
2000-05-10,4456833362
2000-05-11,4731244078
2000-05-12,4591517887
2000-05-15,4685869078
2000-05-16,4690910745
2000-05-17,4541821458
2000-05-18,4672904792
2000-05-19,4461154791
2000-05-22,4402815505
2000-05-23,4447470267
2000-05-24,4510851220
2000-05-25,4393452410
2000-05-26,4249404790
2000-05-30,4371125028
2000-05-31,4083029788
2000-06-01,4073666693
2000-06-02,4303422647
2000-06-05,4204750027
2000-06-06,3982916693
2000-06-07,3884964311
2000-06-08,3902970263
2000-06-09,3916654787
2000-06-12,3979315502
2000-06-13,3839589311
2000-06-14,3875601216
2000-06-15,3844630977
2000-06-16,3709226215
2000-06-19,3646565500
2000-06-20,3569500023
2000-06-21,3502517880
2000-06-22,3641523833
2000-06-23,3704904786
2000-06-26,3565178595
2000-06-27,3736595262
2000-06-28,3695541691
2000-06-29,3664571452
2000-06-30,3203481000
2000-07-03,3469350000
2000-07-05,3430878000
2000-07-06,3503700000
2000-07-07,3469350000
2000-07-10,3610872000
2000-07-11,3688503000
2000-07-12,3662397000
2000-07-13,3713922000
2000-07-14,3658275000
2000-07-17,3713922000
2000-07-18,3392406000
2000-07-19,3306531000
2000-07-20,3297600000
2000-07-21,3276303000
2000-07-24,3224778000
2000-07-25,2963031000
2000-07-26,2846928000
2000-07-27,2769297000
2000-07-28,2791281000
2000-07-31,2967153000
2000-08-01,2906697000
2000-08-02,2829753000
2000-08-03,2799525000
2000-08-04,2752122000
2000-08-07,2902575000
2000-08-08,2928681000
2000-08-09,2919750000
