,WTW
2018-01-15,20430130000
2018-01-16,16625000000
2018-01-17,16891000000
2018-01-18,16359000000
2018-01-19,16625000000
2018-01-22,20467370000
2018-01-23,20561800000
2018-01-24,20996710000
2018-01-25,21149660000
2018-01-26,21302610000
2018-01-29,21804020000
2018-01-30,21507430000
2018-01-31,21325220000
2018-02-01,21325220000
2018-02-02,21801360000
2018-02-05,21500780000
2018-02-06,20947500000
2018-02-07,21067200000
2018-02-08,20931540000
2018-02-09,20263880000
2018-02-12,20234620000
2018-02-13,20501950000
2018-02-14,20656230000
2018-02-15,21180250000
2018-02-16,21229460000
2018-02-19,21177590000
2018-02-20,21177590000
2018-02-21,21233450000
2018-02-22,20956810000
2018-02-23,20818490000
2018-02-26,21274680000
2018-02-27,21440930000
2018-02-28,21414330000
2018-03-01,21000700000
2018-03-02,20613670000
2018-03-05,20604360000
2018-03-06,20870360000
2018-03-07,20938190000
2018-03-08,21127050000
2018-03-09,21222810000
2018-03-12,21830620000
2018-03-13,21673680000
2018-03-14,21597870000
2018-03-15,21483490000
2018-03-16,21583240000
2018-03-19,21652400000
2018-03-20,21170940000
2018-03-21,21218820000
2018-03-22,21033950000
2018-03-23,20569780000
2018-03-26,20150830000
2018-03-27,20500620000
2018-03-28,20133540000
2018-03-29,20121570000
2018-04-03,19666722015
2018-04-04,19565081798
2018-04-05,19661442003
2018-04-06,19602041877
2018-04-09,19291841214
2018-04-10,19272041172
2018-04-11,19406681459
2018-04-12,19408001462
2018-04-13,19521521704
2018-04-16,19810602322
2018-04-17,20079882897
2018-04-18,20188123129
2018-04-19,20151163050
2018-04-20,20155123058
2018-04-23,19986162697
2018-04-24,19939962598
2018-04-25,19751202195
2018-04-26,19714242116
2018-04-27,19793442285
2018-04-30,19899042511
2018-05-01,19603361879
2018-05-02,19608641891
2018-05-03,19349921338
2018-05-04,19464761583
2018-05-08,19974282672
2018-05-09,20240923241
2018-05-10,20091762923
2018-05-11,20541883884
2018-05-14,20508883814
2018-05-15,20383483546
2018-05-16,20321443413
2018-05-17,20227723213
2018-05-18,20346523467
2018-05-21,20368963515
2018-05-22,20541883884
2018-06-01,19951842624
2018-06-04,20027082785
2018-06-06,20339923453
2018-06-07,20485123763
2018-06-08,20778164389
2018-07-12,20739840000
2018-07-25,21348360000
2018-09-05,19555800000
2018-09-14,19348560000
2018-09-24,19599360000
2018-10-08,18506731845
2018-10-12,18582280159
2018-11-12,20770576154
2018-11-14,20865662825
2018-11-23,20448844540
2018-11-30,20788811954
2018-12-03,20769273597
2018-12-05,20989405753
2018-12-24,19156707857
2018-12-31,19633443771
2019-01-02,19390800000
2019-01-03,19234800000
2019-01-04,19396000000
2019-01-16,20326800000
2019-01-21,20404800000
2019-02-01,21190000000
2019-02-25,22241700000
2019-02-27,22149400000
2019-03-18,22623900000
2019-03-20,22477000000
2019-03-25,22661600000
2019-03-29,22791600000
2019-04-02,22981400000
2019-04-04,22981400000
2019-04-09,23064600000
2019-04-25,23173800000
2019-05-02,22822800000
2019-05-09,22816300000
2019-05-13,22590100000
2019-05-16,22835800000
2019-05-30,22934600000
2019-06-06,23770500000
2019-06-07,23916100000
2019-06-12,24480300000
2019-06-21,24927500000
2019-06-24,24937900000
2019-06-25,24966500000
2019-07-01,24900200000
2019-07-02,25212200000
2019-07-15,25530700000
2019-07-18,25425400000
2019-07-19,25701000000
2019-07-29,25894700000
2019-08-01,25467000000
2019-08-02,25485200000
2019-08-06,25485200000
2019-08-08,25135500000
2019-08-09,25768600000
2019-08-16,24976900000
2019-08-28,24863800000
2019-09-02,25415000000
2019-09-09,25721800000
2019-09-16,25311000000
2019-09-18,25823200000
2019-09-23,25528100000
2019-09-25,25649000000
2019-09-26,25584000000
2019-09-27,25716600000
2019-10-01,25086100000
2019-10-03,23947300000
2019-10-07,24349000000
2019-10-14,24430900000
2019-10-15,24393200000
2019-10-16,24507600000
2019-10-22,24568700000
2019-11-13,24338600000
2019-11-19,24619400000
2019-11-21,24719500000
2019-11-25,24625900000
2019-11-26,25053600000
2019-11-29,25467000000
2019-12-04,25095200000
2019-12-05,25119900000
2019-12-06,25192700000
2019-12-13,25794600000
2019-12-20,26611000000
2019-12-23,26733200000
2019-12-24,26205400000
2020-01-06,26326300000
2020-01-07,26591500000
2020-01-13,26650000000
2020-01-15,26520000000
2020-01-17,26743600000
2020-01-20,26648700000
2020-01-23,26487500000
2020-01-24,27054300000
2020-01-27,27171300000
2020-01-28,26965900000
2020-01-29,27690000000
2020-01-31,27917500000
2020-02-04,28242500000
