,X
2000-01-03,2812703820
2000-01-04,2708365860
2000-01-05,2735776680
2000-01-06,2752576860
2000-01-07,2824198680
2000-01-10,2802093180
2000-01-11,2757882180
2000-01-12,2669460180
2000-01-13,2785293000
2000-01-14,2730471360
2000-01-18,2547437820
2000-01-19,2558932680
2000-01-20,2475816000
2000-01-21,2398888860
2000-01-24,2315772180
2000-01-25,2343183000
2000-01-26,2260066320
2000-01-27,2326382820
2000-01-28,2260066320
2000-01-31,2199939360
2000-02-01,2199939360
2000-02-02,2193749820
2000-02-03,2161033680
2000-02-04,2149538820
2000-02-07,2111517360
2000-02-08,2105327820
2000-02-09,2100022500
2000-02-10,2039011320
2000-02-11,2028400680
2000-02-14,2077917000
2000-02-15,2183139180
2000-02-16,2222044860
2000-02-17,2144233500
2000-02-18,2067306360
2000-02-22,2094717180
2000-02-23,2039011320
2000-02-24,1989495000
2000-02-25,1912567860
2000-02-28,1945284000
2000-02-29,1934673360
2000-03-01,1895767680
2000-03-02,1895767680
2000-03-03,1962084180
2000-03-06,1884272820
2000-03-07,1829451180
2000-03-08,1851556680
2000-03-09,1884272820
2000-03-10,1923178500
2000-03-13,1895767680
2000-03-14,1901073000
2000-03-15,2067306360
2000-03-16,2144233500
2000-03-17,2055811500
2000-03-20,2055811500
2000-03-21,2116822680
2000-03-22,2072611680
2000-03-23,2061116820
2000-03-24,2039011320
2000-03-27,1978884360
2000-03-28,1950589320
2000-03-29,2033706000
2000-03-30,2171644320
2000-03-31,2210550000
2000-04-03,2234599750
2000-04-04,2190350250
2000-04-05,2185040310
2000-04-06,2212475000
2000-04-07,2146100750
2000-04-10,2185040310
2000-04-11,2234599750
2000-04-12,2256724500
2000-04-13,2246104620
2000-04-14,2096541310
2000-04-17,2107161190
2000-04-18,2168225500
2000-04-19,2207165060
2000-04-20,2151410690
2000-04-24,2079726500
2000-04-25,2146100750
2000-04-26,2195660190
2000-04-27,2195660190
2000-04-28,2217784940
2000-05-01,2234599750
2000-05-02,2162915560
2000-05-03,2246104620
2000-05-04,2118666060
2000-05-05,2113356120
2000-05-08,2035477000
2000-05-09,2079726500
2000-05-10,2035477000
2000-05-11,2079726500
2000-05-12,2113356120
2000-05-15,2079726500
2000-05-16,2168225500
2000-05-17,2168225500
2000-05-18,2195660190
2000-05-19,2312478870
2000-05-22,2295664060
2000-05-23,2113356120
2000-05-24,2118666060
2000-05-25,2040786940
2000-05-26,2002732370
2000-05-30,2069106620
2000-05-31,1996537440
2000-06-01,2002732370
2000-06-02,2046981870
2000-06-05,1991227500
2000-06-06,1985917560
2000-06-07,1914233370
2000-06-08,1924853250
2000-06-09,1892108620
2000-06-12,1894763590
2000-06-13,1863788940
2000-06-14,1914233370
2000-06-15,1863788940
2000-06-16,1850514090
2000-06-19,1819539440
2000-06-20,1775289940
2000-06-21,1720420560
2000-06-22,1664666190
2000-06-23,1681481000
2000-06-26,1720420560
2000-06-27,1725730500
2000-06-28,1671746110
2000-06-29,1715110620
2000-06-30,1642541440
2000-07-03,1713530780
2000-07-05,1702882220
2000-07-06,1658513220
2000-07-07,1653188940
2000-07-10,1680697720
2000-07-11,1730391000
2000-07-12,1713530780
2000-07-13,1725066720
2000-07-14,1713530780
2000-07-17,1675373440
2000-07-18,1680697720
2000-07-19,1675373440
2000-07-20,1669161780
2000-07-21,1680697720
2000-07-24,1680697720
2000-07-25,1663837500
2000-07-26,1619468500
2000-07-27,1614144220
2000-07-28,1564450940
2000-07-31,1591959720
2000-08-01,1641653000
2000-08-02,1597284000
2000-08-03,1591959720
2000-08-04,1597284000
2000-08-07,1597284000
2000-08-08,1591959720
2000-08-09,1597284000
2000-08-10,1597284000
2000-08-11,1597284000
2000-08-14,1580423780
2000-08-15,1575099500
2000-08-16,1586635440
2000-08-17,1558239280
2000-08-18,1564450940
2000-08-21,1530730500
2000-08-22,1513870280
2000-08-23,1491685780
2000-08-24,1513870280
2000-08-25,1520081940
2000-08-28,1536054780
2000-08-29,1513870280
2000-08-30,1558239280
2000-08-31,1542266440
2000-09-01,1525406220
2000-09-05,1597284000
2000-09-06,1624792780
2000-09-07,1597284000
2000-09-08,1602608280
2000-09-11,1602608280
2000-09-12,1597284000
2000-09-13,1591959720
2000-09-14,1552915000
2000-09-15,1508546000
2000-09-18,1503221720
2000-09-19,1458852720
2000-09-20,1431343940
2000-09-21,1409159440
2000-09-22,1425132280
2000-09-25,1386974940
2000-09-26,1347930220
2000-09-27,1353254500
2000-09-28,1331070000
2000-09-29,1347930220
2000-10-02,1337418360
2000-10-03,1398694500
2000-10-04,1393366140
2000-10-05,1354291500
2000-10-06,1354291500
2000-10-09,1332090000
2000-10-10,1337418360
2000-10-11,1309888500
2000-10-12,1277030280
2000-10-13,1254828780
2000-10-16,1243284000
2000-10-17,1237955640
2000-10-18,1221082500
2000-10-19,1237955640
2000-10-20,1237955640
2000-10-23,1215754140
2000-10-24,1282358640
2000-10-25,1248612360
2000-10-26,1221082500
2000-10-27,1243284000
2000-10-30,1326761640
2000-10-31,1415567640
2000-11-01,1359619860
2000-11-02,1309888500
2000-11-03,1321433280
2000-11-06,1315216860
2000-11-07,1309888500
2000-11-08,1299231780
2000-11-09,1287687000
2000-11-10,1287687000
2000-11-13,1293015360
2000-11-14,1265485500
2000-11-15,1221082500
2000-11-16,1221082500
2000-11-17,1210425780
2000-11-20,1204209360
2000-11-21,1182007860
2000-11-22,1149149640
2000-11-24,1154478000
2000-11-27,1193552640
2000-11-28,1248612360
2000-11-29,1226410860
2000-11-30,1265485500
2000-12-01,1420896000
2000-12-04,1443097500
2000-12-05,1454642280
2000-12-06,1432440780
2000-12-07,1381821360
2000-12-08,1420896000
2000-12-11,1410239280
2000-12-12,1482172140
2000-12-13,1470627360
2000-12-14,1454642280
2000-12-15,1410239280
2000-12-18,1426224360
2000-12-19,1487500500
2000-12-20,1420896000
2000-12-21,1482172140
2000-12-22,1515030360
2000-12-26,1515030360
2000-12-27,1515030360
2000-12-28,1587851280
2000-12-29,1598508000
2001-01-02,1533743370
2001-01-03,1550695740
2001-01-04,1583708250
2001-01-05,1528389990
2001-01-08,1566755880
2001-01-09,1533743370
2001-01-10,1511437620
2001-01-11,1483778490
2001-01-12,1449873750
2001-01-16,1516791000
2001-01-17,1489131870
2001-01-18,1483778490
2001-01-19,1444520370
2001-01-22,1461472740
2001-01-23,1466826120
2001-01-24,1394555490
2001-01-25,1360650750
2001-01-26,1372249740
2001-01-29,1390986570
2001-01-30,1408831170
2001-01-31,1395447720
2001-02-01,1490916330
