,ZTS
2013-02-01,15505000000
2013-02-04,15510000000
2013-02-05,15520000000
2013-02-06,15515000000
2013-02-07,16000000000
2013-02-08,16524999999
2013-02-11,16629999999
2013-02-12,16870000000
2013-02-13,16774999999
2013-02-14,16635000000
2013-02-15,16989999999
2013-02-19,16920000000
2013-02-20,16360000000
2013-02-21,16280000000
2013-02-22,16295000000
2013-02-25,16035000000
2013-02-26,16020000000
2013-02-27,16160000000
2013-02-28,16725000000
2013-03-01,17300000000
2013-03-04,17175000000
2013-03-05,17145000000
2013-03-06,16925000000
2013-03-07,17280000000
2013-03-08,17045000000
2013-03-11,17090000000
2013-03-12,16910000000
2013-03-13,17000000000
2013-03-14,17320000000
2013-03-15,16719999999
2013-03-18,16420000000
2013-03-19,16399999999
2013-03-20,16754999999
2013-03-21,16735000000
2013-03-22,16559999999
2013-03-25,16230000000
2013-03-26,16254999999
2013-03-27,16370000000
2013-03-28,16700000000
2013-04-01,16295000000
2013-04-02,16274999999
2013-04-03,16265000000
2013-04-04,15920000000
2013-04-05,15980000000
2013-04-08,16460000000
2013-04-09,16719999999
2013-04-10,16575000000
2013-04-11,16579999999
2013-04-12,16614999999
2013-04-15,16120000000
2013-04-16,16605000000
2013-04-17,16445000000
2013-04-18,16235000000
2013-04-19,16355000000
2013-04-22,16329999999
2013-04-23,15850000000
2013-04-24,15310000000
2013-04-25,15775000000
2013-04-26,16320000000
2013-04-29,16329999999
2013-04-30,16510000000
2013-05-01,16695000000
2013-05-02,16640000000
2013-05-03,16605000000
2013-05-06,16469999999
2013-05-07,16440000000
2013-05-08,16629999999
2013-05-09,16774999999
2013-05-10,16590000000
2013-05-13,16520000000
2013-05-14,16540000000
2013-05-15,16395000000
2013-05-16,16695000000
2013-05-17,16950000000
2013-05-20,16855000000
2013-05-21,16520000000
2013-05-22,16774999999
2013-05-23,16420000000
2013-05-24,16730000000
2013-05-28,17129999999
2013-05-29,16475000000
2013-05-30,16120000000
2013-05-31,16000000000
2013-06-03,16375000000
2013-06-04,16200000000
2013-06-05,16085000000
2013-06-06,16040000000
2013-06-07,15750000000
2013-06-10,16004999999
2013-06-11,15850000000
2013-06-12,15765000000
2013-06-13,15585000000
2013-06-14,15400000000
2013-06-17,15480000000
2013-06-18,15590000000
2013-06-19,15500000000
2013-06-20,15095000000
2013-06-21,15300000000
2013-06-24,15190000000
2013-06-25,15745000000
2013-06-26,15485000000
2013-06-27,15435000000
2013-06-28,15445000000
2013-07-01,15305000000
2013-07-02,14850000000
2013-07-03,14640000000
2013-07-05,15085000000
2013-07-08,15470000000
2013-07-09,15490000000
2013-07-10,15520000000
2013-07-11,15460000000
2013-07-12,15675000000
2013-07-15,15790000000
2013-07-16,15580000000
2013-07-17,15495000000
2013-07-18,15410000000
2013-07-19,15120000000
2013-07-22,15135000000
2013-07-23,15030000000
2013-07-24,14950000000
2013-07-25,15260000000
2013-07-26,15215000000
2013-07-29,15045000000
2013-07-30,15020000000
2013-07-31,14905000000
2013-08-01,15080000000
2013-08-02,15470000000
2013-08-05,15625000000
2013-08-06,15565000000
2013-08-07,15620000000
2013-08-08,15620000000
2013-08-09,15455000000
2013-08-12,15165000000
2013-08-13,15225000000
2013-08-14,15070000000
2013-08-15,15010000000
2013-08-16,15000000000
2013-08-19,14935000000
2013-08-20,15115000000
2013-08-21,14925000000
2013-08-22,14935000000
2013-08-23,15100000000
2013-08-26,14900000000
2013-08-27,14600000000
2013-08-28,14785000000
2013-08-29,14735000000
2013-08-30,14575000000
2013-09-03,14715000000
2013-09-04,14845000000
2013-09-05,15165000000
2013-09-06,15305000000
2013-09-09,15295000000
2013-09-10,15475000000
2013-09-11,15665000000
2013-09-12,15540000000
2013-09-13,15525000000
2013-09-16,15925000000
2013-09-17,16190000000
2013-09-18,16360000000
2013-09-19,16254999999
2013-09-20,16094999999
2013-09-23,15790000000
2013-09-24,15740000000
2013-09-25,15530000000
2013-09-26,15790000000
2013-09-27,15575000000
2013-09-30,15560217840
2013-10-01,15890222460
2013-10-02,16000224000
2013-10-03,15740220360
2013-10-04,16025224349
2013-10-07,15965223510
2013-10-08,15765220710
2013-10-09,15715220010
2013-10-10,16180226520
2013-10-11,16200226800
2013-10-14,16145226030
2013-10-15,16035224490
2013-10-16,16445230230
2013-10-17,16515231210
2013-10-18,16610232540
2013-10-21,16385229390
2013-10-22,16255227569
2013-10-23,16300228200
2013-10-24,16370229180
2013-10-25,16235227290
2013-10-28,15990223860
2013-10-29,16015224210
2013-10-30,16030224420
2013-10-31,15830221620
2013-11-01,15920222880
2013-11-04,15965223510
2013-11-05,15845221830
2013-11-06,15635218890
2013-11-07,15520217280
2013-11-08,15795221130
