,Adjusted Close
2001-01-02,38.69
2001-01-03,41.63
2001-01-04,43.06
2001-01-05,43.75
2001-01-08,41.5
2001-01-09,38.94
2001-01-10,38.69
2001-01-11,38.44
2001-01-12,36.81
2001-01-16,37.69
2001-01-17,37.0
2001-01-18,38.06
2001-01-19,37.38
2001-01-22,36.63
2001-01-23,38.13
2001-01-24,37.13
2001-01-25,37.38
2001-01-26,36.75
2001-01-29,36.97
2001-01-30,38.25
2001-01-31,39.09
2001-02-01,39.6
2001-02-02,38.58
2001-02-05,37.5
2001-02-06,36.95
2001-02-07,36.35
2001-02-08,34.85
2001-02-09,34.61
2001-02-12,34.0
2001-02-13,33.8
2001-02-14,32.5
2001-02-15,33.37
2001-02-16,33.18
2001-02-20,31.1
2001-02-21,31.06
2001-02-22,32.25
2001-02-23,31.7
2001-02-26,33.07
2001-02-27,33.41
2001-02-28,33.25
2001-03-01,31.32
2001-03-02,33.28
2001-03-05,33.95
2001-03-06,34.96
2001-03-07,35.0
2001-03-08,36.7
2001-03-09,36.45
2001-03-12,34.81
2001-03-13,34.3
2001-03-14,32.81
2001-03-15,34.54
2001-03-16,33.79
2001-03-19,34.05
2001-03-20,34.11
2001-03-21,34.12
2001-03-22,33.85
2001-03-23,33.11
2001-03-26,35.27
2001-03-27,36.48
2001-03-28,34.82
2001-03-29,34.52
2001-03-30,35.12
2001-04-02,34.08
2001-04-03,33.74
2001-04-04,34.95
2001-04-05,35.05
2001-04-06,33.97
2001-04-09,33.94
2001-04-10,36.05
2001-04-11,35.3
2001-04-12,35.2
2001-04-16,34.6
2001-04-17,35.0
2001-04-18,37.86
2001-04-19,39.2
2001-04-20,39.01
2001-04-23,38.93
2001-04-24,37.66
2001-04-25,37.04
2001-04-26,37.52
2001-04-27,37.74
2001-04-30,38.11
2001-05-01,37.92
2001-05-02,38.8
2001-05-03,38.5
2001-05-04,37.9
2001-05-07,37.9
2001-05-08,37.84
2001-05-09,37.47
2001-05-10,37.45
2001-05-11,37.06
2001-05-14,37.05
2001-05-15,37.01
2001-05-16,36.15
2001-05-17,37.05
2001-05-18,37.92
2001-05-21,38.5
2001-05-22,39.38
2001-05-23,38.55
2001-05-24,37.82
2001-05-25,37.8
2001-05-29,38.29
2001-05-30,37.92
2001-05-31,38.99
2001-06-01,37.63
2001-06-04,37.71
2001-06-05,38.16
2001-06-06,37.85
2001-06-07,37.8
2001-06-08,37.38
2001-06-11,36.76
2001-06-12,36.1
2001-06-13,36.05
2001-06-14,35.57
2001-06-15,35.28
2001-06-18,35.92
2001-06-19,34.4
2001-06-20,34.39
2001-06-21,34.95
2001-06-22,34.36
2001-06-25,33.24
2001-06-26,33.4
2001-06-27,34.27
2001-06-28,35.2
2001-06-29,36.13
2001-07-02,36.0
2001-07-03,36.67
2001-07-05,36.8
2001-07-06,35.43
2001-07-09,36.07
2001-07-10,35.83
2001-07-11,36.45
2001-07-12,37.64
2001-07-13,37.94
2001-07-16,37.26
2001-07-17,36.4
2001-07-18,35.44
2001-07-19,36.17
2001-07-20,36.07
2001-07-23,36.18
2001-07-24,35.8
2001-07-25,35.55
2001-07-26,35.81
2001-07-27,34.8
2001-07-30,35.24
2001-07-31,35.15
2001-08-01,36.23
2001-08-02,35.37
2001-08-03,34.84
2001-08-06,34.45
2001-08-07,34.23
2001-08-08,34.06
2001-08-09,33.03
2001-08-10,34.2
2001-08-13,33.59
2001-08-14,33.73
2001-08-15,33.41
2001-08-16,33.17
2001-08-17,32.46
2001-08-20,33.32
2001-08-21,32.13
2001-08-22,32.4
2001-08-23,32.72
2001-08-24,33.88
2001-08-27,33.55
2001-08-28,33.26
2001-08-29,32.65
2001-08-30,32.32
2001-08-31,31.99
2001-09-04,32.28
2001-09-05,31.99
2001-09-06,31.15
2001-09-07,30.15
2001-09-10,29.7
2001-09-17,18.0
2001-09-18,20.0
2001-09-19,20.0
2001-09-20,18.45
2001-09-21,17.9
2001-09-24,18.3
2001-09-25,18.64
2001-09-26,18.24
2001-09-27,17.9
2001-09-28,19.14
2001-10-01,19.9
2001-10-02,20.67
2001-10-03,22.12
2001-10-04,21.15
2001-10-05,20.86
2001-10-08,21.2
2001-10-09,20.16
2001-10-10,20.75
2001-10-11,22.2
2001-10-12,20.51
2001-10-15,20.27
2001-10-16,20.3
2001-10-17,19.28
2001-10-18,18.87
2001-10-19,18.47
2001-10-22,19.42
2001-10-23,19.95
2001-10-24,19.7
2001-10-25,19.98
2001-10-26,19.82
2001-10-29,19.49
2001-10-30,18.99
2001-10-31,18.2
2001-11-01,18.6
2001-11-02,18.74
2001-11-05,18.9
2001-11-06,18.36
2001-11-07,18.55
2001-11-08,18.28
2001-11-09,18.13
2001-11-12,16.49
2001-11-13,17.01
2001-11-14,17.94
2001-11-15,18.75
2001-11-16,20.06
2001-11-19,20.77
2001-11-20,19.86
2001-11-21,20.47
2001-11-23,21.0
2001-11-26,21.66
2001-11-27,21.1
2001-11-28,20.42
2001-11-29,21.05
2001-11-30,21.36
2001-12-03,20.94
2001-12-04,21.29
2001-12-05,22.2
2001-12-06,22.04
2001-12-07,23.34
2001-12-10,22.82
2001-12-11,22.75
2001-12-12,23.0
2001-12-13,22.58
2001-12-14,23.12
2001-12-17,22.5
2001-12-18,22.5
2001-12-19,22.5
2001-12-20,21.65
2001-12-21,21.89
2001-12-24,21.19
2001-12-26,21.57
2001-12-27,21.5
2001-12-28,22.0
2001-12-31,22.3
2002-01-02,21.92
2002-01-03,23.64
2002-01-04,25.05
2002-01-07,25.67
2002-01-08,25.51
2002-01-09,25.35
2002-01-10,25.45
2002-01-11,25.26
2002-01-14,24.55
2002-01-15,25.79
2002-01-16,26.02
2002-01-17,24.86
2002-01-18,24.87
2002-01-22,24.24
2002-01-23,24.29
2002-01-24,24.5
2002-01-25,25.37
2002-01-28,26.19
2002-01-29,25.07
2002-01-30,25.02
2002-01-31,24.94
2002-02-01,24.12
2002-02-04,23.77
2002-02-05,23.21
2002-02-06,22.37
2002-02-07,22.93
2002-02-08,23.65
2002-02-11,24.28
2002-02-12,24.8
2002-02-13,24.38
2002-02-14,24.41
2002-02-15,24.5
2002-02-19,24.75
2002-02-20,25.36
2002-02-21,25.49
2002-02-22,25.04
2002-02-25,25.66
2002-02-26,26.0
2002-02-27,27.06
2002-02-28,26.1
2002-03-01,27.25
2002-03-04,29.05
2002-03-05,27.35
2002-03-06,28.28
2002-03-07,27.35
2002-03-08,28.33
2002-03-11,28.93
2002-03-12,28.81
2002-03-13,27.54
2002-03-14,26.93
2002-03-15,27.08
2002-03-18,27.1
2002-03-19,26.45
2002-03-20,25.7
2002-03-21,25.47
2002-03-22,26.54
2002-03-25,25.15
2002-03-26,26.08
2002-03-27,25.7
2002-03-28,26.41
2002-04-01,25.56
2002-04-02,24.02
2002-04-03,24.55
2002-04-04,24.98
2002-04-05,24.76
2002-04-08,24.35
2002-04-09,24.8
2002-04-10,25.24
2002-04-11,24.21
2002-04-12,25.0
2002-04-15,24.03
2002-04-16,24.22
2002-04-17,23.65
2002-04-18,22.86
2002-04-19,22.4
2002-04-22,21.74
2002-04-23,21.6
2002-04-24,22.3
2002-04-25,22.23
2002-04-26,22.0
2002-04-29,21.74
2002-04-30,21.47
2002-05-01,21.62
2002-05-02,20.99
2002-05-03,20.1
2002-05-06,20.19
2002-05-07,19.9
2002-05-08,20.55
2002-05-09,20.15
2002-05-10,19.46
2002-05-13,19.9
2002-05-14,20.29
2002-05-15,21.39
2002-05-16,20.89
2002-05-17,20.88
2002-05-20,20.41
2002-05-21,20.02
2002-05-22,19.75
2002-05-23,20.47
2002-05-24,20.7
2002-05-28,21.12
2002-05-29,21.07
2002-05-30,21.01
2002-05-31,20.95
2002-06-03,20.33
2002-06-04,19.65
2002-06-05,20.0
2002-06-06,20.0
2002-06-07,20.07
2002-06-10,20.6
2002-06-11,20.52
2002-06-12,19.8
2002-06-13,18.99
2002-06-14,18.06
2002-06-17,18.26
2002-06-18,18.79
2002-06-19,17.9
2002-06-20,17.92
2002-06-21,17.65
2002-06-24,17.6
2002-06-25,17.45
2002-06-26,16.0
2002-06-27,16.0
2002-06-28,16.86
2002-07-01,15.93
2002-07-02,14.91
2002-07-03,14.83
2002-07-05,15.65
2002-07-08,15.51
2002-07-09,14.7
2002-07-10,14.33
2002-07-11,13.95
2002-07-12,13.8
2002-07-15,13.47
2002-07-16,13.27
2002-07-17,12.87
2002-07-18,12.87
2002-07-19,12.01
2002-07-22,11.02
2002-07-23,10.2
2002-07-24,10.35
2002-07-25,10.85
2002-07-26,10.4
2002-07-29,11.1
2002-07-30,11.44
2002-07-31,11.18
2002-08-01,10.67
2002-08-02,9.8
2002-08-05,8.95
2002-08-06,9.33
2002-08-07,9.4
2002-08-08,9.44
2002-08-09,9.59
2002-08-12,8.36
2002-08-13,8.74
2002-08-14,8.68
2002-08-15,9.2
2002-08-16,9.65
2002-08-19,9.26
2002-08-20,9.32
2002-08-21,11.2
2002-08-22,11.59
2002-08-23,11.14
2002-08-26,10.95
2002-08-27,10.51
2002-08-28,9.99
2002-08-29,10.48
2002-08-30,10.19
2002-09-03,9.65
2002-09-04,9.92
2002-09-05,9.2
2002-09-06,9.44
2002-09-09,9.17
2002-09-10,9.17
2002-09-11,9.25
2002-09-12,8.89
2002-09-13,7.36
2002-09-16,6.95
2002-09-17,6.6
2002-09-18,5.82
2002-09-19,4.9
2002-09-20,4.95
2002-09-23,4.22
2002-09-24,3.6
2002-09-25,4.2
2002-09-26,4.86
2002-09-27,4.25
2002-09-30,4.18
2002-10-01,4.65
2002-10-02,4.5
2002-10-03,4.55
2002-10-04,4.32
2002-10-07,3.76
2002-10-08,3.92
2002-10-10,3.15
2002-10-11,3.7
2002-10-14,3.74
2002-10-15,4.48
2002-10-16,3.89
2002-10-17,4.25
2002-10-18,4.3
2002-10-21,4.75
2002-10-22,5.16
2002-10-23,5.22
2002-10-24,5.1
2002-10-25,5.24
2002-10-28,4.9
2002-10-29,4.58
2002-10-30,4.66
2002-10-31,4.72
2002-11-01,5.2
2002-11-04,5.58
2002-11-05,5.87
2002-11-06,7.61
2002-11-07,6.81
2002-11-08,6.96
2002-11-11,6.28
2002-11-12,6.4
2002-11-13,6.77
2002-11-14,6.81
2002-11-15,6.81
2002-11-18,7.15
2002-11-19,7.03
2002-11-20,6.55
2002-11-21,7.46
2002-11-22,7.66
2002-11-25,8.25
2002-11-26,8.1
2002-11-27,7.95
2002-11-29,7.75
2002-12-02,7.72
2002-12-03,6.86
2002-12-04,7.04
2002-12-05,7.58
2002-12-06,8.0
2002-12-09,7.55
2002-12-10,7.75
2002-12-11,7.45
2002-12-12,7.64
2002-12-13,7.54
2002-12-16,7.36
2002-12-17,7.44
2002-12-18,6.64
2002-12-19,6.31
2002-12-20,6.38
2002-12-23,6.4
2002-12-24,6.2
2002-12-26,6.47
2002-12-27,6.39
2002-12-30,6.24
2002-12-31,6.6
2003-01-02,6.66
2003-01-03,6.72
2003-01-06,6.95
2003-01-07,6.87
2003-01-08,6.57
2003-01-09,6.79
2003-01-10,6.52
2003-01-13,6.5
2003-01-14,6.16
2003-01-15,6.03
2003-01-16,6.1
2003-01-17,5.65
2003-01-21,4.9
2003-01-22,3.77
2003-01-23,3.66
2003-01-24,3.26
2003-01-27,3.12
2003-01-28,3.13
2003-01-29,3.13
2003-01-30,2.92
2003-01-31,2.9
2003-02-03,2.95
2003-02-04,2.87
2003-02-05,3.02
2003-02-06,3.26
2003-02-07,3.0
2003-02-10,3.06
2003-02-11,3.22
2003-02-12,3.02
2003-02-13,2.77
2003-02-14,2.98
2003-02-18,3.03
2003-02-19,2.92
2003-02-20,2.87
2003-02-21,2.91
2003-02-24,2.81
2003-02-25,2.84
2003-02-26,2.58
2003-02-27,2.51
2003-02-28,2.34
2003-03-03,2.63
2003-03-04,2.5
2003-03-05,2.6
2003-03-06,2.56
2003-03-07,2.81
2003-03-10,2.41
2003-03-11,1.59
2003-03-12,1.41
2003-03-13,1.5
2003-03-14,1.52
2003-03-17,1.64
2003-03-18,1.71
2003-03-19,1.84
2003-03-20,1.75
2003-03-21,2.38
2003-03-24,2.08
2003-03-25,2.25
2003-03-26,2.19
2003-03-27,1.79
2003-03-28,1.58
2003-03-31,2.1
2003-04-01,3.0
2003-04-02,4.25
2003-04-03,3.63
2003-04-04,3.95
2003-04-07,4.28
2003-04-08,3.63
2003-04-09,3.79
2003-04-10,3.8
2003-04-11,3.3
2003-04-14,3.08
2003-04-15,3.4
2003-04-16,4.23
2003-04-17,5.0
2003-04-21,3.85
2003-04-22,3.43
2003-04-23,3.8
2003-04-24,4.04
2003-04-25,4.4
2003-04-28,4.57
2003-04-29,4.35
2003-04-30,4.48
2003-05-01,4.81
2003-05-02,5.47
2003-05-05,6.24
2003-05-06,7.1
2003-05-07,6.41
2003-05-08,6.4
2003-05-09,6.6
2003-05-12,6.99
2003-05-13,7.1
2003-05-14,7.04
2003-05-15,6.72
2003-05-16,6.58
2003-05-19,6.12
2003-05-20,5.86
2003-05-21,6.09
2003-05-22,6.3
2003-05-23,6.32
2003-05-27,6.64
2003-05-28,6.41
2003-05-29,6.45
2003-05-30,6.34
2003-06-03,7.02
2003-06-04,8.6
