,Adjusted Close
2001-06-07,0.570833333333333
2001-06-08,0.5625
2001-06-11,0.570833333333333
2001-06-12,0.566666666666667
2001-06-13,0.5575
2001-06-14,0.5275
2001-06-15,0.515833333333333
2001-06-18,0.505833333333333
2001-06-19,0.46
2001-06-20,0.445833333333333
2001-06-21,0.445833333333333
2001-06-22,0.479166666666667
2001-06-25,0.479166666666667
2001-06-26,0.52
2001-06-27,0.508333333333333
2001-06-28,0.511666666666667
2001-06-29,0.533333333333333
2001-07-02,0.533333333333333
2001-07-03,0.529166666666667
2001-07-05,0.529166666666667
2001-07-06,0.520833333333333
2001-07-09,0.5
2001-07-10,0.5
2001-07-11,0.504166666666667
2001-07-12,0.495833333333333
2001-07-13,0.495
2001-07-16,0.4875
2001-07-17,0.483333333333333
2001-07-18,0.479166666666667
2001-07-19,0.466666666666667
2001-07-20,0.466666666666667
2001-07-23,0.470833333333333
2001-07-24,0.480833333333333
2001-07-25,0.473333333333333
2001-07-26,0.4775
2001-07-27,0.488333333333333
2001-07-30,0.508333333333333
2001-07-31,0.520833333333333
2001-08-01,0.516666666666667
2001-08-02,0.516666666666667
2001-08-03,0.516666666666667
2001-08-06,0.516666666666667
2001-08-07,0.5375
2001-08-08,0.551666666666667
2001-08-09,0.569166666666667
2001-08-10,0.591666666666667
2001-08-13,0.644166666666667
2001-08-14,0.645
2001-08-15,0.66
2001-08-16,0.674166666666667
2001-08-17,0.664166666666667
2001-08-20,0.629166666666667
2001-08-21,0.64
2001-08-22,0.641666666666667
2001-08-23,0.6525
2001-08-24,0.7125
2001-08-27,0.735
2001-08-28,0.708333333333333
2001-08-29,0.708333333333333
2001-08-30,0.6875
2001-08-31,0.708333333333333
2001-09-04,0.756666666666667
2001-09-05,0.753333333333333
2001-09-06,0.725
2001-09-07,0.720833333333333
2001-09-10,0.729166666666667
2001-09-17,0.7
2001-09-18,0.708333333333333
2001-09-19,0.663333333333333
2001-09-20,0.586666666666667
2001-09-21,0.566666666666667
2001-09-24,0.633333333333333
2001-09-25,0.65
2001-09-26,0.6875
2001-09-27,0.725
2001-09-28,0.7125
2001-10-01,0.6875
2001-10-02,0.715833333333333
2001-10-03,0.7475
2001-10-04,0.736666666666667
2001-10-05,0.7375
2001-10-08,0.7275
2001-10-09,0.9325
2001-10-10,0.900833333333333
2001-10-11,0.9075
2001-10-12,0.8475
2001-10-15,0.853333333333333
2001-10-16,0.881666666666667
2001-10-17,0.835
2001-10-18,0.865833333333333
2001-10-19,1.025
2001-10-22,0.891666666666667
2001-10-23,0.815
2001-10-24,0.854166666666667
2001-10-25,0.833333333333333
2001-10-26,0.826666666666667
2001-10-29,0.779166666666667
2001-10-30,0.79
2001-10-31,0.795
2001-11-01,0.795833333333333
2001-11-02,0.8225
2001-11-05,0.820833333333333
2001-11-06,0.795833333333333
2001-11-07,0.865
2001-11-08,0.883333333333333
2001-11-09,0.933333333333333
2001-11-12,0.945833333333333
2001-11-13,0.9375
2001-11-14,0.9
2001-11-15,1.105
2001-11-16,1.18416666666667
2001-11-19,1.1575
2001-11-20,1.1575
2001-11-21,1.15833333333333
2001-11-23,1.1725
2001-11-26,1.14166666666667
2001-11-27,1.0525
2001-11-28,1.0
2001-11-29,1.0125
2001-11-30,1.085
2001-12-03,1.075
2001-12-04,1.09
2001-12-05,1.02833333333333
2001-12-06,1.01
2001-12-07,1.00833333333333
2001-12-10,0.996666666666667
2001-12-11,0.966666666666667
2001-12-12,0.9825
2001-12-13,1.00416666666667
2001-12-14,1.0325
2001-12-17,1.02083333333333
2001-12-18,1.05083333333333
2001-12-19,1.02333333333333
2001-12-20,1.00833333333333
2001-12-21,0.996666666666667
2001-12-24,1.02916666666667
2001-12-26,1.00916666666667
