,Adjusted Close
2000-01-03,14192.25
2000-01-04,12762.0
2000-01-05,11964.0
2000-01-06,9684.75000000001
2000-01-07,11113.5
2000-01-10,12147.0
2000-01-11,10575.0
2000-01-12,10146.75
2000-01-13,10122.75
2000-01-14,10092.75
2000-01-18,10536.0
2000-01-19,10308.75
2000-01-20,11106.0
2000-01-21,12147.0
2000-01-24,11172.0
2000-01-25,11724.0
2000-01-26,11400.0
2000-01-27,10953.0
2000-01-28,9993.75000000001
2000-01-31,9537.75000000001
2000-02-01,10086.75
2000-02-02,10233.75
2000-02-03,11634.0
2000-02-04,10959.0
2000-02-07,11184.0
2000-02-08,11409.0
2000-02-09,12750.0
2000-02-10,13227.0
2000-02-11,12900.0
2000-02-14,13571.25
2000-02-15,13431.0
2000-02-16,13649.25
2000-02-17,13682.25
2000-02-18,13446.0
2000-02-22,14021.25
2000-02-23,15557.25
2000-02-24,17179.5
2000-02-25,18019.5
2000-02-28,17473.5
2000-02-29,18922.5
2000-03-01,19210.5
2000-03-02,18619.5
2000-03-03,19524.75
2000-03-06,20394.75
2000-03-07,20349.75
2000-03-08,20124.75
2000-03-09,20025.75
2000-03-10,19357.5
2000-03-13,17194.5
2000-03-14,17388.0
2000-03-15,15770.25
2000-03-16,16454.25
2000-03-17,17154.0
2000-03-20,15284.25
2000-03-21,15959.25
2000-03-22,16274.25
2000-03-23,15140.25
2000-03-24,15176.25
2000-03-27,14861.25
2000-03-28,14044.5
2000-03-29,11967.75
2000-03-30,11463.75
2000-03-31,10017.0
2000-04-03,9774.00000000001
2000-04-04,9666.00000000001
2000-04-05,11094.75
2000-04-06,12694.5
2000-04-07,12595.5
2000-04-10,10017.0
2000-04-11,10473.75
2000-04-12,9216.00000000001
2000-04-13,9009.00000000001
2000-04-14,6626.25000000001
2000-04-17,5969.25000000001
2000-04-18,8541.00000000001
2000-04-19,8109.00000000001
2000-04-20,8172.00000000001
2000-04-24,7661.25000000001
2000-04-25,7265.25000000001
2000-04-26,7247.25000000001
2000-04-27,8991.00000000001
2000-04-28,9801.00000000001
2000-05-01,9675.00000000001
2000-05-02,10473.75
2000-05-03,10212.75
2000-05-04,10599.75
2000-05-05,11103.75
2000-05-08,10383.75
2000-05-09,10131.75
2000-05-10,9288.00000000001
2000-05-11,9711.00000000001
2000-05-12,10221.75
2000-05-15,10185.75
2000-05-16,10842.75
2000-05-17,10401.75
2000-05-18,10221.75
2000-05-19,9549.00000000001
2000-05-22,8658.00000000001
2000-05-23,7875.00000000001
2000-05-24,7751.25000000001
2000-05-25,7022.25000000001
2000-05-26,7760.25000000001
2000-05-30,8631.00000000001
2000-05-31,7983.00000000001
2000-06-01,9738.00000000001
2000-06-02,12003.75
2000-06-05,11589.75
2000-06-06,11085.75
2000-06-07,11814.75
2000-06-08,11742.75
2000-06-09,11562.75
2000-06-12,11013.75
2000-06-13,11688.75
2000-06-14,10851.75
2000-06-15,11067.75
2000-06-16,11130.75
2000-06-19,11823.75
2000-06-20,13585.5
2000-06-21,13792.5
2000-06-22,13108.5
2000-06-23,12649.5
2000-06-26,12388.5
2000-06-27,11805.75
2000-06-28,12370.5
2000-06-29,11949.75
2000-06-30,11355.75
2000-07-03,11697.75
2000-07-05,12219.75
2000-07-06,12003.75
2000-07-07,8991.00000000001
2000-07-10,8892.00000000001
2000-07-11,7875.00000000001
2000-07-12,8874.00000000001
2000-07-13,9306.00000000001
2000-07-14,9126.00000000001
2000-07-17,9945.00000000001
2000-07-18,9738.00000000001
2000-07-19,9108.00000000001
2000-07-20,10167.75
2000-07-21,9252.00000000001
2000-07-24,8568.00000000001
2000-07-25,8892.00000000001
2000-07-26,8406.00000000001
2000-07-27,7929.00000000001
2000-07-28,7463.25000000001
2000-07-31,8118.00000000001
2000-08-01,7733.25000000001
2000-08-02,7652.25000000001
2000-08-03,7884.00000000001
2000-08-04,8001.00000000001
2000-08-07,7929.00000000001
2000-08-08,7436.25000000001
2000-08-09,7220.25000000001
2000-08-10,7031.25000000001
2000-08-11,7004.25000000001
2000-08-14,6995.25000000001
2000-08-15,6743.25000000001
2000-08-16,6293.25000000001
2000-08-17,7490.25000000001
2000-08-18,6644.25000000001
2000-08-21,7067.25000000001
2000-08-22,6797.25000000001
2000-08-23,6986.25000000001
2000-08-24,6977.25000000001
2000-08-25,6824.25000000001
2000-08-28,7094.25000000001
2000-08-29,7040.25000000001
2000-08-30,7715.25000000001
2000-08-31,7715.25000000001
2000-09-01,8775.00000000001
2000-09-05,8199.00000000001
2000-09-06,7947.00000000001
2000-09-07,8451.00000000001
2000-09-08,7947.00000000001
2000-09-11,7490.25000000001
2000-09-12,7418.25000000001
2000-09-13,7715.25000000001
2000-09-14,7427.25000000001
2000-09-15,7310.25000000001
2000-09-18,6860.25000000001
2000-09-19,7229.25000000001
2000-09-20,7103.25000000001
2000-09-21,6761.25000000001
2000-09-22,7013.25000000001
2000-09-25,6968.25000000001
2000-09-26,6572.25000000001
2000-09-27,6149.25000000001
2000-09-28,6185.25000000001
2000-09-29,5717.25000000001
2000-10-02,4837.5
2000-10-03,4531.5
2000-10-04,4783.50000000001
2000-10-05,4504.5
2000-10-06,4081.5
2000-10-09,4855.5
2000-10-10,5226.75000000001
2000-10-11,5269.50000000001
2000-10-12,5062.5
2000-10-13,4945.5
2000-10-16,5287.50000000001
2000-10-17,5852.25000000001
2000-10-18,5503.50000000001
2000-10-19,5753.25000000001
2000-10-20,6527.25000000001
2000-10-23,6194.25000000001
2000-10-24,5924.25000000001
2000-10-25,5636.25000000001
2000-10-26,5645.25000000001
2000-10-27,5942.25000000001
2000-10-30,6131.25000000001
2000-10-31,6626.25000000001
2000-11-01,7022.25000000001
2000-11-02,7463.25000000001
2000-11-03,7974.00000000001
2000-11-06,8001.00000000001
2000-11-07,8118.00000000001
2000-11-08,7697.25000000001
2000-11-09,7328.25000000001
2000-11-10,7058.25000000001
2000-11-13,6419.25000000001
2000-11-14,7499.25000000001
2000-11-15,7319.25000000001
2000-11-16,7499.25000000001
2000-11-17,8091.00000000001
2000-11-20,7040.25000000001
2000-11-21,6995.25000000001
2000-11-22,6158.25000000001
2000-11-24,6860.25000000001
2000-11-27,6788.25000000001
2000-11-28,5404.50000000001
2000-11-29,5440.50000000001
2000-11-30,5035.5
2000-12-01,4513.5
2000-12-04,4288.5
2000-12-05,5512.50000000001
2000-12-06,5440.50000000001
2000-12-07,4801.5
2000-12-08,5278.50000000001
2000-12-11,5906.25000000001
2000-12-12,5512.50000000001
2000-12-13,4954.5
2000-12-14,4621.5
2000-12-15,4549.5
2000-12-18,3820.5
2000-12-19,3201.75
2000-12-20,2814.75
2000-12-21,2787.75
2000-12-22,3057.75
2000-12-26,3183.75
2000-12-27,3012.75
2000-12-28,2832.75
2000-12-29,2589.75
2001-01-02,2121.75
2001-01-03,2931.75
2001-01-04,2382.75
2001-01-05,2301.75
2001-01-08,2373.75
2001-01-09,2967.75
2001-01-10,3397.5
2001-01-11,3370.5
2001-01-12,3487.5
2001-01-16,3712.5
2001-01-17,3856.5
2001-01-18,3397.5
2001-01-19,3282.75
2001-01-22,3255.75
2001-01-23,3415.5
2001-01-24,3730.5
2001-01-25,3273.75
2001-01-26,3156.75
2001-01-29,3273.75
2001-01-30,3219.75
2001-01-31,2985.75
2001-02-01,2949.75
2001-02-02,2805.75
2001-02-05,2796.75
2001-02-06,2796.75
2001-02-07,2778.75
2001-02-08,2742.75
2001-02-09,2499.75
2001-02-12,2472.75
2001-02-13,2144.25
2001-02-14,2067.75
2001-02-15,2256.75
2001-02-16,2058.75
2001-02-20,1838.25
2001-02-21,1815.75
