,Adjusted Close
2015-02-10,1.743
2015-02-11,1.743
2015-02-12,1.743
2015-02-13,1.743
2015-02-17,1.743
2015-02-18,1.743
2015-02-19,1.435
2015-02-20,1.435
2015-02-23,1.435
2015-02-24,1.435
2015-02-25,1.421
2015-02-26,1.421
2015-02-27,1.358
2015-03-02,1.358
2015-03-03,1.358
2015-03-04,1.316
2015-03-05,1.316
2015-03-06,1.316
2015-03-09,1.316
2015-03-10,1.316
2015-03-11,1.316
2015-03-12,1.2747
2015-03-13,1.2747
2015-03-16,1.2747
2015-03-17,1.2747
2015-03-18,1.2747
2015-03-19,1.2747
2015-03-20,1.2747
2015-03-23,1.2747
2015-03-24,1.2747
2015-03-25,1.2747
2015-03-26,1.2747
2015-03-27,1.2747
2015-03-30,1.2747
2015-03-31,1.2747
2015-04-01,1.2747
2015-04-02,1.2747
2015-04-06,1.2747
2015-04-07,1.2747
2015-04-08,1.2747
2015-04-09,1.2747
2015-04-10,1.2747
2015-04-13,1.2747
2015-04-14,1.2747
2015-04-15,1.2747
2015-04-16,1.2747
2015-04-17,1.2747
2015-04-20,1.2747
2015-04-21,1.106
2015-04-22,1.106
2015-04-23,1.106
2015-04-24,1.106
2015-04-27,1.295
2015-04-28,1.309
2015-04-29,1.309
2015-04-30,1.309
2015-05-01,1.309
2015-05-04,1.309
2015-05-05,1.309
2015-05-06,1.309
2015-05-07,1.309
2015-05-08,1.309
2015-05-11,1.309
2015-05-12,1.309
2015-05-13,1.309
2015-05-14,1.309
2015-05-15,1.19
2015-05-18,1.19
2015-05-19,1.19
2015-05-20,1.19
2015-05-21,1.19
2015-05-22,1.19
2015-05-26,1.19
2015-05-27,1.19
2015-05-28,1.4385
2015-05-29,1.4385
2015-06-01,1.4385
2015-06-02,1.4385
2015-06-03,1.4385
2015-06-04,1.442
2015-06-05,1.442
2015-06-08,1.442
2015-06-09,1.442
2015-06-10,1.442
2015-06-11,1.442
2015-06-12,1.442
2015-06-15,1.442
2015-06-16,1.442
2015-06-17,1.442
2015-06-18,1.442
2015-06-19,1.442
2015-06-22,1.442
2015-06-23,1.442
2015-06-24,1.442
2015-06-25,1.442
2015-06-26,1.442
2015-06-29,1.442
2015-06-30,1.442
2015-07-01,1.442
2015-07-02,1.442
2015-07-06,1.442
2015-07-07,1.442
2015-07-08,1.442
2015-07-09,1.442
2015-07-10,1.442
2015-07-13,1.442
2015-07-14,1.442
2015-07-15,1.442
2015-07-16,1.442
2015-07-17,1.442
2015-07-20,1.442
2015-07-21,1.442
2015-07-22,1.442
2015-07-23,1.442
2015-07-24,1.512
2015-07-27,1.512
2015-07-28,1.512
2015-07-29,1.512
2015-07-30,1.512
2015-07-31,1.512
2015-08-03,1.512
2015-08-04,1.512
2015-08-05,1.344
2015-08-06,1.344
2015-08-07,1.344
2015-08-10,1.344
2015-08-11,1.344
2015-08-12,1.344
2015-08-13,1.344
2015-08-14,1.302
2015-08-17,1.302
2015-08-18,1.302
2015-08-19,1.302
2015-08-20,1.302
2015-08-21,1.302
2015-08-24,1.302
2015-08-25,1.302
2015-08-26,1.302
2015-08-27,1.204
2015-08-28,1.26
2015-08-31,1.26
2015-09-01,1.26
2015-09-02,1.26
2015-09-03,1.26
2015-09-04,1.26
2015-09-08,1.26
2015-09-09,1.26
2015-09-10,1.26
2015-09-11,1.26
