,Adjusted Close
2022-06-21,23.99
2022-06-22,24.0
2022-06-23,24.75
2022-06-24,25.25
2022-06-27,25.5
2022-06-28,26.75
2022-06-29,24.5
2022-06-30,24.835
2022-07-01,24.4
2022-07-05,24.4
2022-07-06,23.95
2022-07-07,23.88
2022-07-08,23.8
2022-07-11,22.75
2022-07-12,21.1
2022-07-13,20.75
2022-07-14,20.66
2022-07-15,20.5
2022-07-18,19.0
2022-07-19,19.0
2022-07-20,17.8
2022-07-21,17.0
2022-07-22,16.0
2022-07-25,16.0
2022-07-26,15.5
2022-07-27,15.55
2022-07-28,16.0
2022-07-29,17.5
2022-08-01,17.5
2022-08-02,16.99
2022-08-03,16.65
2022-08-04,17.0
2022-08-05,17.0
2022-08-08,17.0
2022-08-09,17.0
2022-08-10,17.0
2022-08-11,12.0
2022-08-12,11.3
2022-08-15,11.35
2022-08-16,11.4
2022-08-17,11.35
2022-08-18,11.35
2022-08-19,11.35
2022-08-22,11.35
2022-08-23,11.35
2022-08-24,11.35
2022-08-25,11.35
2022-08-26,11.35
2022-08-29,11.35
2022-08-30,11.35
2022-08-31,11.35
2022-09-01,11.35
2022-09-02,11.35
2022-09-06,11.35
2022-09-07,11.35
2022-09-08,11.35
2022-09-09,11.35
2022-09-12,13.17
2022-09-13,13.17
2022-09-14,14.0
2022-09-15,17.95
2022-09-16,17.95
2022-09-19,17.95
2022-09-20,17.95
2022-09-21,17.94
2022-09-22,17.94
2022-09-23,17.94
2022-09-26,18.0
2022-09-27,15.0
2022-09-28,15.0
2022-09-29,16.5
2022-09-30,17.0
2022-10-03,17.0
2022-10-04,17.0
2022-10-05,17.0
2022-10-06,17.0
2022-10-07,17.0
2022-10-10,17.0
2022-10-11,17.0
2022-10-12,17.0
2022-10-13,16.5
2022-10-14,16.5
2022-10-17,16.5
2022-10-18,16.5
2022-10-19,16.5
2022-10-20,16.5
2022-10-21,16.5
2022-10-24,16.25
2022-10-25,16.5
2022-10-26,17.25
2022-10-27,15.9
2022-10-28,15.49
2022-10-31,15.16
2022-11-01,14.91
2022-11-02,14.65
2022-11-03,14.95
2022-11-04,14.5
2022-11-07,14.4
2022-11-08,14.55
2022-11-09,13.245
2022-11-10,12.31
2022-11-11,12.1501
2022-11-14,12.0
2022-11-15,11.85
2022-11-16,11.435
2022-11-17,11.3799
2022-11-18,11.4
2022-11-21,11.11
2022-11-22,11.28
2022-11-23,11.03
2022-11-25,11.4
2022-11-28,11.1
2022-11-29,11.0
2022-11-30,10.825
2022-12-01,10.7
2022-12-02,10.5
2022-12-05,10.45
2022-12-06,10.31
2022-12-07,10.04
2022-12-08,9.87
2022-12-09,9.69
2022-12-12,9.29
2022-12-13,9.39
2022-12-14,9.49
2022-12-15,9.46
2022-12-16,9.28
2022-12-19,9.27
2022-12-20,9.18
2022-12-21,8.86
2022-12-22,8.93
2022-12-23,8.61
2022-12-27,8.36
2022-12-28,8.08
2022-12-29,8.05
2022-12-30,7.75
2023-01-03,7.77
2023-01-04,7.8
2023-01-05,7.68
2023-01-06,7.6
2023-01-09,8.17
2023-01-10,7.7
2023-01-11,7.75
2023-01-12,7.78
