,Adjusted Close
2002-05-23,1.196427375
2002-05-24,1.20999879
2002-05-28,1.1571417
2002-05-29,1.103570325
2002-05-30,1.0714275
2002-05-31,1.076427495
2002-06-03,1.1285703
2002-06-04,1.117856025
2002-06-05,1.14714171
2002-06-06,1.182141675
2002-06-07,1.11857031
2002-06-10,1.156427415
2002-06-11,1.153570275
2002-06-12,1.09285605
2002-06-13,1.08285606
2002-06-14,0.986427585
2002-06-17,0.922141935
2002-06-18,0.910713375
2002-06-19,0.95142762
2002-06-20,0.9571419
2002-06-21,0.979284735
2002-06-24,0.97857045
2002-06-25,0.96428475
2002-06-26,0.98857044
2002-06-27,0.943570485
2002-06-28,0.999284715
2002-07-01,1.027856115
2002-07-02,1.17285597
2002-07-03,1.2142845
2002-07-05,1.276427295
2002-07-08,1.17571311
2002-07-09,1.160713125
2002-07-10,1.163570265
2002-07-11,1.269284445
2002-07-12,1.207855935
2002-07-15,1.142856
2002-07-16,1.126427445
2002-07-17,1.089284625
2002-07-18,1.149284565
2002-07-19,1.15999884
2002-07-22,1.170713115
2002-07-23,1.146427425
2002-07-24,1.1142846
2002-07-25,1.036427535
2002-07-26,0.8714277
2002-07-29,0.876427695
2002-07-30,0.9142848
2002-07-31,0.953570475
2002-08-01,0.89142768
2002-08-02,0.777856365
2002-08-05,0.774999225
2002-08-06,0.760713525
2002-08-07,0.793570635
2002-08-08,0.796427775
2002-08-09,0.78714207
2002-08-12,0.7571421
2002-08-13,0.77285637
2002-08-14,0.833570595
2002-08-15,0.88285626
2002-08-16,0.91285623
2002-08-19,0.982141875
2002-08-20,0.946427625
2002-08-21,0.96857046
2002-08-22,0.983570445
2002-08-23,0.993570435
2002-08-26,0.967856175
2002-08-27,0.873570555
2002-08-28,0.86428485
2002-08-29,0.903570525
2002-08-30,0.936427635
2002-09-03,0.92571336
2002-09-04,0.9285705
2002-09-05,0.917856225
2002-09-06,0.9142848
2002-09-09,0.90142767
2002-09-10,0.944999055
2002-09-11,0.96142761
2002-09-12,0.924999075
2002-09-13,0.87857055
2002-09-16,0.857142
2002-09-17,0.85571343
2002-09-18,0.787856355
2002-09-19,0.72428499
2002-09-20,0.7084992915
2002-09-23,0.7114992885
2002-09-24,0.717856425
2002-09-25,0.732142125
2002-09-26,0.783570645
2002-09-27,0.71999928
2002-09-30,0.69285645
2002-10-01,0.67857075
2002-10-02,0.57857085
2002-10-03,0.5179280535
