,Adjusted Close
2012-07-20,17.71
2012-07-23,17.17
2012-07-24,18.5
2012-07-25,19.65
2012-07-26,19.96
2012-07-27,19.0
2012-07-30,18.3333333333333
2012-07-31,19.0466666666667
2012-08-01,18.7266666666667
2012-08-02,18.3666666666667
2012-08-03,18.2633333333333
2012-08-06,18.26
2012-08-07,18.9333333333333
2012-08-08,20.31
2012-08-09,20.4433333333333
2012-08-10,20.44
2012-08-13,20.9066666666667
2012-08-14,19.9333333333333
2012-08-15,20.91
2012-08-16,22.1666666666667
2012-08-17,22.43
2012-08-20,21.8233333333333
2012-08-21,21.44
2012-08-22,21.0833333333333
2012-08-23,21.38
2012-08-24,21.59
2012-08-27,21.23
2012-08-28,21.3
2012-08-29,21.5766666666667
2012-08-30,21.1433333333333
2012-08-31,21.46
2012-09-04,23.4033333333333
2012-09-05,23.3333333333333
2012-09-06,23.8033333333333
2012-09-07,23.58
2012-09-10,23.9166666666667
2012-09-11,22.2
2012-09-12,21.62
2012-09-13,22.66
2012-09-14,22.33
2012-09-17,22.6366666666667
2012-09-18,23.06
2012-09-19,22.6666666666667
2012-09-20,21.6833333333333
2012-09-21,21.34
2012-09-24,21.5533333333333
2012-09-25,21.39
2012-09-26,21.0833333333333
2012-09-27,21.69
2012-09-28,20.5233333333333
2012-10-01,20.2
2012-10-02,20.6666666666667
2012-10-03,21.9533333333333
2012-10-04,21.92
2012-10-05,20.6666666666667
2012-10-08,20.69
2012-10-09,20.6533333333333
2012-10-10,20.48
2012-10-11,20.32
2012-10-12,20.9866666666667
2012-10-15,21.85
2012-10-16,21.8566666666667
2012-10-17,21.8333333333333
2012-10-18,20.6333333333333
2012-10-19,20.0066666666667
2012-10-22,20.0
2012-10-23,19.9166666666667
2012-10-24,19.9166666666667
2012-10-25,19.35
2012-10-26,18.7666666666667
2012-10-31,18.3266666666667
2012-11-01,18.73
2012-11-02,18.2
2012-11-05,18.6
2012-11-06,18.4733333333333
2012-11-07,17.9666666666667
2012-11-08,17.32
2012-11-09,17.3333333333333
2012-11-12,17.4333333333333
2012-11-13,17.73
2012-11-14,17.4633333333333
2012-11-15,17.1333333333333
2012-11-16,17.75
2012-11-19,18.67
2012-11-20,18.14
2012-11-21,18.4833333333333
2012-11-23,18.47
2012-11-26,18.6266666666667
2012-11-27,18.68
2012-11-28,18.1933333333333
2012-11-29,18.6233333333333
2012-11-30,18.14
2012-12-03,17.22
2012-12-04,17.8833333333333
2012-12-05,17.3666666666667
2012-12-06,17.1
