,Adjusted Close
2007-04-19,27.4
2007-04-20,28.55
2007-04-23,28.75
2007-04-24,29.2
2007-04-25,28.61
2007-04-26,28.2
2007-04-27,28.4
2007-04-30,28.05
2007-05-01,27.9
2007-05-02,28.16
2007-05-03,28.65
2007-05-04,28.8
2007-05-07,29.07
2007-05-08,29.3
2007-05-09,30.85
2007-05-10,30.41
2007-05-11,30.91
2007-05-14,31.92
2007-05-15,34.21
2007-05-16,34.36
2007-05-17,36.4
2007-05-18,36.58
2007-05-21,34.54
2007-05-22,33.71
2007-05-23,33.58
2007-05-24,33.93
2007-05-25,35.01
2007-05-29,33.9
2007-05-30,35.82
2007-05-31,35.66
2007-06-01,36.59
2007-06-04,36.68
2007-06-05,35.26
2007-06-06,33.89
2007-06-07,32.53
2007-06-08,32.55
2007-06-11,33.77
2007-06-12,33.12
2007-06-13,33.79
2007-06-14,32.93
2007-06-15,35.6
2007-06-18,35.62
2007-06-19,33.99
2007-06-20,32.64
2007-06-21,33.62
2007-06-22,33.83
2007-06-25,35.0
2007-06-26,34.76
2007-06-27,34.85
2007-06-28,33.65
2007-06-29,33.04
2007-07-02,33.03
2007-07-03,34.34
2007-07-05,34.19
2007-07-06,35.17
2007-07-09,35.18
2007-07-10,35.61
2007-07-11,36.17
2007-07-12,37.16
2007-07-13,37.21
2007-07-16,38.36
2007-07-17,40.33
2007-07-18,39.32
2007-07-19,39.55
2007-07-20,39.37
2007-07-23,39.01
2007-07-24,37.75
2007-07-25,35.64
2007-07-26,35.45
2007-07-27,35.2
2007-07-30,37.29
2007-07-31,36.62
2007-08-01,36.85
2007-08-02,39.02
2007-08-03,31.16
2007-08-06,30.59
2007-08-07,32.0
2007-08-08,31.76
2007-08-09,27.99
2007-08-10,27.5
2007-08-13,28.83
2007-08-14,27.74
2007-08-15,25.79
2007-08-16,24.15
2007-08-17,26.18
2007-08-20,25.7
2007-08-21,25.59
2007-08-22,25.54
2007-08-23,25.53
2007-08-24,28.35
2007-08-27,30.67
2007-08-28,29.93
2007-08-29,28.3
2007-08-30,26.93
2007-08-31,27.29
2007-09-04,28.65
2007-09-05,28.89
2007-09-06,28.09
2007-09-07,27.22
2007-09-10,26.75
2007-09-11,26.65
2007-09-12,26.02
2007-09-13,24.79
2007-09-14,25.1
2007-09-17,25.19
2007-09-18,25.46
2007-09-19,25.65
2007-09-20,26.44
2007-09-21,26.5
2007-09-24,26.71
2007-09-25,27.18
2007-09-26,26.99
2007-09-27,27.53
2007-09-28,27.28
2007-10-01,27.24
2007-10-02,27.85
2007-10-03,27.67
2007-10-04,27.6
2007-10-05,24.79
2007-10-08,24.2
2007-10-09,25.21
2007-10-10,24.81
2007-10-11,24.93
2007-10-12,24.85
2007-10-15,24.02
2007-10-16,22.8
2007-10-17,22.5
2007-10-18,22.1
2007-10-19,21.92
2007-10-22,20.6
2007-10-23,19.64
2007-10-24,19.63
2007-10-25,19.86
2007-10-26,21.4
2007-10-29,21.84
2007-10-30,21.6
2007-10-31,22.5
2007-11-01,20.14
2007-11-02,21.86
2007-11-05,21.64
2007-11-06,22.02
2007-11-07,21.48
2007-11-08,20.8
2007-11-09,16.1
2007-11-12,15.61
2007-11-13,16.45
2007-11-14,18.13
2007-11-15,18.36
2007-11-16,18.65
2007-11-19,17.6
2007-11-20,16.0
2007-11-21,15.24
2007-11-23,15.55
2007-11-26,15.44
2007-11-27,15.1
2007-11-28,16.23
2007-11-29,16.62
2007-11-30,17.1
2007-12-03,16.17
2007-12-04,17.01
2007-12-05,17.31
2007-12-06,16.8
2007-12-07,17.61
2007-12-10,17.65
