,Adjusted Close
2018-01-02,15.71
2018-01-03,17.59
2018-01-04,18.11
2018-01-05,17.21
2018-01-08,17.06
2018-01-09,17.39
2018-01-10,17.03
2018-01-11,17.11
2018-01-12,16.65
2018-01-16,16.36
2018-01-17,16.01
2018-01-18,15.71
2018-01-19,15.47
2018-01-22,15.11
2018-01-23,15.3
2018-01-24,15.41
2018-01-25,16.0
2018-01-26,16.08
2018-01-29,15.565
2018-01-30,15.02
2018-01-31,14.6
2018-02-01,14.48
2018-02-02,14.91
2018-02-05,14.0
2018-02-06,12.86
2018-02-07,12.86
2018-02-08,13.8
2018-02-09,13.33
2018-02-12,13.33
2018-02-13,13.61
2018-02-14,13.61
2018-02-15,13.61
2018-02-16,13.9
2018-02-20,13.9
2018-02-21,13.9
2018-02-22,13.9
2018-02-23,13.66
2018-02-26,13.66
2018-02-27,13.64
2018-02-28,13.22
2018-03-01,12.88
2018-03-02,12.88
2018-03-05,13.13
2018-03-06,12.76
2018-03-07,13.33
2018-03-08,12.97
2018-03-09,12.97
2018-03-12,12.97
2018-03-13,12.97
2018-03-14,12.97
2018-03-15,12.97
2018-03-16,12.97
2018-03-19,11.91
2018-03-20,11.79
2018-03-21,11.79
2018-03-22,11.79
2018-03-23,11.79
2018-03-26,11.85
2018-03-27,12.15
2018-03-28,12.08
2018-03-29,11.4
2018-04-02,11.4
2018-04-03,11.4
2018-04-04,11.4
2018-04-05,11.4
2018-04-06,11.4
2018-04-09,11.42
2018-04-10,11.62
2018-04-11,11.5
2018-04-12,12.15
2018-04-13,11.68
2018-04-16,11.68
2018-04-17,11.25
2018-04-18,11.66
2018-04-19,11.66
2018-04-20,11.28
2018-04-23,11.07
2018-04-24,11.6
2018-04-25,11.6
2018-04-26,11.6
2018-04-27,11.6
2018-04-30,11.36
2018-05-01,11.36
2018-05-02,12.03
2018-05-03,12.03
2018-05-04,12.03
2018-05-07,12.75
2018-05-08,13.0
2018-05-09,13.5
2018-05-10,13.9
2018-05-11,15.25
2018-05-14,15.142
2018-05-15,14.7047
2018-05-16,14.3848
2018-05-17,14.7
2018-05-18,13.95
2018-05-21,14.5
2018-05-22,14.65
2018-05-23,14.0
2018-05-24,13.6457
2018-05-25,13.52
2018-05-29,13.62
2018-05-30,13.783
2018-05-31,13.5
2018-06-01,13.75
2018-06-04,13.8
2018-06-05,13.82
2018-06-06,14.0
2018-06-07,14.99
2018-06-08,14.1
2018-06-11,15.1
2018-06-12,13.8
2018-06-13,14.0
2018-06-14,15.0
2018-06-15,16.0
2018-06-18,15.95
2018-06-19,15.37
2018-06-20,15.37
2018-06-21,14.3258
2018-06-22,14.7
2018-06-25,14.7618
2018-06-26,14.7618
2018-06-27,14.344
2018-06-28,14.4634
2018-06-29,14.0
2018-07-02,14.0
2018-07-03,14.5
2018-07-05,14.26
2018-07-06,13.95
2018-07-09,14.0
2018-07-10,14.0
2018-07-11,14.4999
2018-07-12,13.41
2018-07-13,13.35
2018-07-16,13.35
2018-07-17,13.4126
2018-07-18,13.25
2018-07-19,14.4719
2018-07-20,13.9615
2018-07-23,14.3
2018-07-24,13.7
2018-07-25,13.6768
2018-07-26,14.8932
2018-07-27,14.1
2018-07-30,14.1
2018-07-31,14.38
2018-08-01,14.3591
2018-08-02,13.9235
2018-08-03,13.75
2018-08-06,13.9431
2018-08-07,13.31
2018-08-08,12.93
2018-08-09,12.93
2018-08-10,12.57
2018-08-13,12.3169
2018-08-14,12.5
2018-08-15,11.79
2018-08-16,12.3027
2018-08-17,12.9
2018-08-20,13.0
2018-08-21,12.5
2018-08-22,12.5
2018-08-23,12.55
2018-08-24,12.1
2018-08-27,11.9061
2018-08-28,12.0
2018-08-29,11.85
2018-08-30,11.69
2018-08-31,11.43
2018-09-04,11.1233
2018-09-05,11.1691
2018-09-06,11.3156
2018-09-07,11.35
2018-09-10,11.0967
2018-09-11,11.0967
2018-09-12,10.51
2018-09-13,10.5101
2018-09-14,10.5101
2018-09-17,11.0158
2018-09-18,11.25
2018-09-19,10.01
2018-09-20,10.7
2018-09-21,10.7
2018-09-24,10.1505
2018-09-25,10.2433
2018-09-26,10.8
2018-09-27,10.55
2018-09-28,10.6655
2018-10-01,11.05
2018-10-02,11.05
2018-10-03,10.22
2018-10-04,10.22
2018-10-05,10.69
2018-10-08,10.66
2018-10-09,10.65
2018-10-10,10.15
2018-10-11,10.14
2018-10-12,10.3
2018-10-15,10.3
2018-10-16,10.016
2018-10-17,10.5
2018-10-18,9.96
2018-10-19,9.96
2018-10-22,10.5
2018-10-23,10.11
2018-10-24,10.0495
2018-10-25,9.934
2018-10-26,9.81
2018-10-29,9.6
2018-10-30,9.5475
2018-10-31,9.7312
2018-11-01,9.01
2018-11-02,9.3616
2018-11-05,9.567
2018-11-06,9.567
2018-11-07,9.567
2018-11-08,9.07
2018-11-09,9.01
2018-11-12,9.01
2018-11-13,9.01
2018-11-14,9.01
2018-11-15,9.3809
2018-11-16,9.75
2018-11-19,9.6799
2018-11-20,9.6173
2018-11-21,9.25
2018-11-23,9.4
2018-11-26,9.32
2018-11-27,9.24
2018-11-28,9.2337
2018-11-29,9.2337
2018-11-30,9.2337
2018-12-03,9.223
2018-12-04,9.223
2018-12-06,8.76
2018-12-07,8.6
2018-12-10,9.24
2018-12-11,8.51
2018-12-12,8.36
2018-12-13,8.01
2018-12-14,7.8
2018-12-17,7.75
2018-12-18,7.56
2018-12-19,7.2
2018-12-20,7.2
2018-12-21,6.12
2018-12-24,6.12
2018-12-26,7.08
2018-12-27,6.9066
2018-12-28,6.55
2018-12-31,6.13
2019-01-02,6.13
2019-01-03,6.05
2019-01-04,6.45
2019-01-07,7.3864
2019-01-08,7.5
2019-01-09,7.99
2019-01-10,7.72
2019-01-11,6.95
2019-01-14,7.4277
2019-01-15,7.42
2019-01-16,7.6
2019-01-17,7.55
2019-01-18,7.35
2019-01-22,7.554
2019-01-23,7.35
2019-01-24,7.315
2019-01-25,7.5
2019-01-28,7.5
2019-01-29,7.1027
2019-01-30,7.41
2019-01-31,7.41
2019-02-01,7.3
2019-02-04,7.17
2019-02-05,7.4899
2019-02-06,7.49
2019-02-07,7.48
2019-02-08,7.3
2019-02-11,7.6
2019-02-12,7.4
2019-02-13,7.3927
2019-02-14,7.35
2019-02-15,7.29
2019-02-19,7.31
2019-02-20,7.31
2019-02-21,7.2
2019-02-22,7.48
2019-02-25,7.52
2019-02-26,7.77
2019-02-27,7.74
2019-02-28,7.63
2019-03-01,7.72
2019-03-04,7.66
2019-03-05,7.3573
2019-03-06,7.69
2019-03-07,7.68
2019-03-08,7.76
2019-03-11,8.05
2019-03-12,7.9499
2019-03-13,7.925
2019-03-14,7.7
2019-03-15,8.05
2019-03-18,7.71
2019-03-19,7.9514
2019-03-20,8.0
2019-03-21,7.61
2019-03-22,7.85
2019-03-25,7.83
2019-03-26,7.75
2019-03-27,7.8518
2019-03-28,7.79
2019-03-29,7.75
2019-04-01,8.3249
2019-04-02,8.2
2019-04-03,8.9
2019-04-04,9.589
2019-04-05,8.9638
2019-04-08,9.7118
2019-04-09,11.22
2019-04-10,11.658
2019-04-11,12.18
2019-04-12,11.33
2019-04-15,11.3414
2019-04-16,11.41
2019-04-17,12.79
2019-04-18,13.5
2019-04-22,13.2246
2019-04-23,12.99
2019-04-24,11.55
2019-04-25,11.55
2019-04-26,10.55
2019-04-29,10.15
2019-04-30,10.15
2019-05-01,10.1
2019-05-02,10.3799
2019-05-03,11.0961
2019-05-06,10.55
2019-05-07,11.4743
2019-05-08,10.5201
2019-05-09,11.4473
2019-05-10,12.1512
2019-05-13,11.9
2019-05-14,11.3565
2019-05-15,11.35
2019-05-16,11.15
2019-05-17,11.336
2019-05-20,11.1
2019-05-21,11.2
2019-05-22,12.0925
2019-05-23,11.5079
2019-05-24,12.1937
2019-05-28,11.52
2019-05-29,11.51
2019-05-30,11.9
2019-05-31,11.85
2019-06-03,11.97
2019-06-04,11.7002
2019-06-05,11.6
2019-06-06,11.9137
2019-06-07,11.6
2019-06-10,11.648
2019-06-11,11.92
2019-06-12,11.9
2019-06-13,11.65
2019-06-14,11.7112
2019-06-17,11.5
2019-06-18,11.5
2019-06-19,11.25
2019-06-20,11.55
2019-06-21,11.95
2019-06-24,11.2206
2019-06-25,11.46
2019-06-26,11.85
2019-06-27,11.95
2019-06-28,11.74
2019-07-01,11.74
2019-07-02,11.74
2019-07-03,11.62
2019-07-05,11.2685
2019-07-08,11.2699
2019-07-09,10.8699
2019-07-10,10.86
2019-07-11,10.35
2019-07-12,10.0685
2019-07-15,10.2256
2019-07-16,9.99
2019-07-17,10.5
2019-07-18,10.2123
2019-07-19,10.05
2019-07-22,10.0473
2019-07-23,10.06
2019-07-24,10.15
2019-07-25,9.94
2019-07-26,10.5
2019-07-29,9.93
2019-07-30,9.93
2019-07-31,9.9725
2019-08-01,10.0
2019-08-02,9.9714
2019-08-05,9.6
2019-08-06,9.4
2019-08-07,9.3
2019-08-08,9.3001
2019-08-09,9.7
2019-08-12,9.5642
2019-08-13,9.2982
2019-08-14,9.15
2019-08-15,9.2
2019-08-16,9.15
2019-08-19,8.9349
2019-08-20,8.69
2019-08-21,8.25
2019-08-22,8.25
2019-08-23,9.07
2019-08-26,8.51
2019-08-27,8.6
2019-08-28,8.6232
2019-08-29,8.85
2019-08-30,8.6585
2019-09-03,7.4
2019-09-04,7.83
2019-09-05,7.2
2019-09-06,7.2
2019-09-09,7.4649
2019-09-10,7.13
2019-09-11,7.25
2019-09-12,7.22
2019-09-13,7.22
2019-09-16,7.08
2019-09-17,7.3
2019-09-18,7.2105
2019-09-19,7.1
2019-09-20,6.84
2019-09-23,6.8772
2019-09-24,6.4496
2019-09-25,6.5
2019-09-26,6.41
2019-09-27,6.578
2019-09-30,6.9
2019-10-01,6.5587
2019-10-02,6.88
2019-10-03,6.4579
2019-10-04,6.45
2019-10-07,6.5
2019-10-08,6.3965
2019-10-09,6.21
2019-10-10,6.201
2019-10-11,6.5
2019-10-14,6.49
2019-10-15,6.5
2019-10-16,6.7799
2019-10-17,8.737
2019-10-18,7.8633
2019-10-21,7.77
2019-10-22,8.0773
2019-10-23,7.87
2019-10-24,8.29
2019-10-25,8.358
2019-10-28,8.79
2019-10-29,8.55
2019-10-30,8.2
2019-10-31,8.2014
2019-11-01,7.91
2019-11-04,7.86
2019-11-05,7.86
2019-11-06,7.9
2019-11-07,7.85
2019-11-08,7.5294
2019-11-11,7.85
2019-11-12,7.68
2019-11-13,7.0
2019-11-14,7.15
2019-11-15,7.0711
2019-11-18,7.05
2019-11-19,7.04
2019-11-20,7.0
2019-11-21,7.0
2019-11-22,7.05
2019-11-25,7.21
2019-11-26,7.51
2019-11-27,7.6527
2019-11-29,7.65
2019-12-02,7.55
2019-12-03,7.07
2019-12-04,7.0804
2019-12-05,7.62
2019-12-06,7.5
2019-12-09,7.4382
2019-12-10,7.56
2019-12-11,7.64
2019-12-12,7.6
2019-12-13,7.958
2019-12-16,8.3718
2019-12-17,8.18
2019-12-18,8.34
2019-12-19,7.78
2019-12-20,8.1588
2019-12-23,8.09
2019-12-24,8.154
2019-12-26,8.32
2019-12-27,8.26
2019-12-30,8.323
2019-12-31,8.2604
2020-01-02,8.3
2020-01-03,8.35
2020-01-06,8.46
2020-01-07,8.3
2020-01-08,8.35
2020-01-09,9.2573
2020-01-10,9.76
2020-01-13,10.05
2020-01-14,9.79
2020-01-15,9.95
2020-01-16,9.75
2020-01-17,9.5
2020-01-21,9.6
2020-01-22,9.1984
2020-01-23,9.0
2020-01-24,9.0
2020-01-27,8.9999
2020-01-28,8.8214
2020-01-29,8.3255
2020-01-30,8.5
2020-01-31,8.3747
2020-02-03,8.3747
2020-02-04,8.43
2020-02-05,8.2646
2020-02-06,8.5143
2020-02-07,8.3288
2020-02-10,8.4441
2020-02-11,8.2919
2020-02-12,8.6559
2020-02-13,8.6
2020-02-14,8.6
2020-02-18,8.8
2020-02-19,8.46
2020-02-20,8.4
2020-02-21,8.8
2020-02-24,8.64
2020-02-25,8.15
2020-02-26,7.7083
2020-02-27,7.91
2020-02-28,7.5
2020-03-02,7.025
2020-03-03,7.1
2020-03-04,7.71
2020-03-05,7.2166
2020-03-06,7.05
2020-03-09,6.35
2020-03-10,6.5004
2020-03-11,6.39
2020-03-12,5.6
2020-03-13,5.71
2020-03-16,5.0
2020-03-17,5.45
2020-03-18,4.65
2020-03-19,4.55
2020-03-20,4.45
2020-03-23,4.1164
