,Adjusted Close
2000-01-03,148.83
2000-01-04,143.625
2000-01-05,143.625
2000-01-06,139.32
2000-01-07,137.625
2000-01-10,151.95
2000-01-11,144.945
2000-01-12,141.375
2000-01-13,147.75
2000-01-14,146.16
2000-01-18,149.535
2000-01-19,157.5
2000-01-20,165.9
2000-01-21,163.35
2000-01-24,167.4
2000-01-25,167.55
2000-01-26,156.9
2000-01-27,156.9
2000-01-28,153.0
2000-01-31,159.45
2000-02-01,159.45
2000-02-02,165.0
2000-02-03,173.25
2000-02-04,176.25
2000-02-07,178.05
2000-02-08,180.6
2000-02-09,177.0
2000-02-10,178.2
2000-02-11,177.0
2000-02-14,172.2
2000-02-15,170.7
2000-02-16,169.35
2000-02-17,176.1
2000-02-18,168.75
2000-02-22,176.85
2000-02-23,179.25
2000-02-24,183.45
2000-02-25,182.55
2000-02-28,174.3
2000-02-29,175.65
2000-03-01,177.3
2000-03-02,171.6
2000-03-03,176.4
2000-03-06,178.2
2000-03-07,182.4
2000-03-08,183.45
2000-03-09,191.7
2000-03-10,190.65
2000-03-13,181.5
2000-03-14,174.0
2000-03-15,174.0
2000-03-16,191.25
2000-03-17,198.0
2000-03-20,192.0
2000-03-21,193.5
2000-03-22,194.85
2000-03-23,192.57
2000-03-24,198.0
2000-03-27,192.39
2000-03-28,183.75
2000-03-29,183.57
2000-03-30,170.64
2000-03-31,202.68
2000-04-03,180.18
2000-04-04,184.32
2000-04-05,184.89
2000-04-06,192.0
2000-04-07,201.18
2000-04-10,170.43
2000-04-11,167.82
2000-04-12,156.18
2000-04-13,154.5
2000-04-14,147.93
2000-04-17,152.82
2000-04-18,148.14
2000-04-19,166.5
2000-04-20,168.0
2000-04-24,164.82
2000-04-25,177.0
2000-04-26,176.64
2000-04-27,179.82
2000-04-28,180.18
2000-05-01,171.39
2000-05-02,157.14
2000-05-03,160.32
2000-05-04,162.18
2000-05-05,164.07
2000-05-08,161.25
2000-05-09,160.89
2000-05-10,150.75
2000-05-11,160.14
2000-05-12,168.0
2000-05-15,176.25
2000-05-16,178.14
2000-05-17,174.18
2000-05-18,177.0
2000-05-19,164.07
2000-05-22,172.68
2000-05-23,165.39
2000-05-24,170.64
2000-05-25,169.32
2000-05-26,172.89
2000-05-30,180.0
2000-05-31,186.39
2000-06-01,206.82
2000-06-02,217.5
2000-06-05,225.0
2000-06-06,225.0
2000-06-07,224.25
2000-06-08,214.14
2000-06-09,229.14
2000-06-12,223.14
2000-06-13,225.39
2000-06-14,224.43
2000-06-15,227.07
2000-06-16,234.57
2000-06-19,236.82
2000-06-20,253.5
2000-06-21,244.5
2000-06-22,248.25
2000-06-23,241.5
2000-06-26,255.0
2000-06-27,247.32
2000-06-28,255.75
2000-06-29,255.93
2000-06-30,256.499999999999
2000-07-03,260.639999999999
2000-07-05,246.39
2000-07-06,267.569999999999
2000-07-07,272.999999999999
2000-07-10,275.639999999999
2000-07-11,284.069999999999
2000-07-12,286.499999999999
2000-07-13,290.069999999999
2000-07-14,290.819999999999
2000-07-17,290.999999999999
2000-07-18,291.749999999999
2000-07-19,295.499999999999
2000-07-20,307.799999999999
2000-07-21,297.929999999999
2000-07-24,300.899999999999
2000-07-25,305.999999999999
2000-07-26,293.999999999999
2000-07-27,287.069999999999
2000-07-28,255.0
2000-07-31,278.639999999999
2000-08-01,273.929999999999
2000-08-02,275.819999999999
2000-08-03,287.819999999999
2000-08-04,294.179999999999
2000-08-07,326.699999999999
2000-08-08,310.799999999999
2000-08-09,323.399999999999
2000-08-10,332.999999999999
2000-08-11,326.999999999999
2000-08-14,322.499999999999
2000-08-15,318.899999999999
2000-08-16,310.199999999999
2000-08-17,322.799999999999
2000-08-18,326.099999999999
2000-08-21,323.999999999999
2000-08-22,310.799999999999
2000-08-23,300.599999999999
2000-08-24,317.699999999999
2000-08-25,311.399999999999
2000-08-28,310.199999999999
2000-08-29,317.399999999999
2000-08-30,312.899999999999
2000-08-31,353.999999999999
2000-09-01,347.099999999999
2000-09-05,339.299999999999
2000-09-06,310.799999999999
2000-09-07,324.299999999999
2000-09-08,311.699999999999
2000-09-11,309.899999999999
2000-09-12,314.699999999999
2000-09-13,308.699999999999
2000-09-14,302.399999999999
2000-09-15,301.199999999999
2000-09-18,285.929999999999
2000-09-19,307.199999999999
2000-09-20,324.299999999999
2000-09-21,308.999999999999
2000-09-22,312.899999999999
2000-09-25,318.599999999999
2000-09-26,304.199999999999
2000-09-27,291.389999999999
2000-09-28,311.699999999999
2000-09-29,280.889999999999
2000-10-02,288.929999999999
2000-10-03,285.179999999999
2000-10-04,288.929999999999
2000-10-05,282.179999999999
2000-10-06,271.139999999999
2000-10-09,269.999999999999
2000-10-10,240.93
2000-10-11,242.91
2000-10-12,252.18
2000-10-13,282.569999999999
2000-10-16,288.929999999999
2000-10-17,287.639999999999
2000-10-18,280.679999999999
2000-10-19,317.699999999999
2000-10-20,343.799999999999
2000-10-23,346.799999999999
2000-10-24,341.399999999999
2000-10-25,299.069999999999
2000-10-26,302.999999999999
2000-10-27,322.799999999999
2000-10-30,300.899999999999
2000-10-31,342.899999999999
2000-11-01,324.299999999999
2000-11-02,324.299999999999
2000-11-03,326.399999999999
2000-11-06,330.899999999999
2000-11-07,318.299999999999
2000-11-08,293.999999999999
2000-11-09,280.319999999999
2000-11-10,280.319999999999
2000-11-13,277.319999999999
2000-11-14,299.579999999999
2000-11-15,305.099999999999
2000-11-16,294.749999999999
2000-11-17,293.819999999999
2000-11-20,279.749999999999
2000-11-21,270.749999999999
2000-11-22,258.389999999999
2000-11-24,268.889999999999
2000-11-27,279.179999999999
2000-11-28,261.27
2000-11-29,263.999999999999
2000-11-30,228.75
2000-12-01,243.39
2000-12-04,230.07
2000-12-05,246.93
2000-12-06,254.82
2000-12-07,255.0
2000-12-08,276.569999999999
2000-12-11,283.499999999999
2000-12-12,255.18
2000-12-13,220.14
2000-12-14,229.89
2000-12-15,219.33
2000-12-18,216.39
2000-12-19,198.0
2000-12-20,185.82
2000-12-21,184.32
2000-12-22,215.25
2000-12-26,216.93
2000-12-27,227.07
2000-12-28,237.57
2000-12-29,229.89
2001-01-02,206.07
2001-01-03,246.57
2001-01-04,241.5
2001-01-05,219.75
2001-01-08,227.82
2001-01-09,223.5
2001-01-10,226.5
2001-01-11,251.28
2001-01-12,247.5
2001-01-16,240.0
2001-01-17,254.28
2001-01-18,292.499999999999
2001-01-19,313.499999999999
2001-01-22,305.999999999999
2001-01-23,321.359999999999
2001-01-24,309.359999999999
2001-01-25,286.499999999999
2001-01-26,295.139999999999
2001-01-29,286.499999999999
2001-01-30,287.279999999999
2001-01-31,291.779999999999
2001-02-01,287.639999999999
2001-02-02,265.86
2001-02-05,244.5
2001-02-06,228.78
2001-02-07,217.5
2001-02-08,226.86
2001-02-09,225.78
2001-02-12,210.78
2001-02-13,210.0
2001-02-14,236.28
2001-02-15,245.64
2001-02-16,210.0
2001-02-20,192.36
2001-02-21,200.64
2001-02-22,190.86
2001-02-23,191.28
2001-02-26,186.36
2001-02-27,170.64
2001-02-28,178.86
2001-03-01,172.5
2001-03-02,175.86
2001-03-05,183.36
2001-03-06,196.14
2001-03-07,207.78
2001-03-08,198.78
2001-03-09,184.5
2001-03-12,171.0
2001-03-13,175.14
2001-03-14,176.28
2001-03-15,161.28
2001-03-16,156.36
2001-03-19,171.0
2001-03-20,144.0
2001-03-21,134.28
2001-03-22,144.36
2001-03-23,148.14
2001-03-26,146.64
2001-03-27,144.78
2001-03-28,131.28
2001-03-29,118.86
2001-03-30,117.36
2001-04-02,121.14
2001-04-03,111.36
2001-04-04,107.28
2001-04-05,130.86
2001-04-06,111.78
2001-04-09,118.32
2001-04-10,129.66
2001-04-11,134.76
2001-04-12,145.98
2001-04-16,134.4
2001-04-17,136.08
2001-04-18,163.98
2001-04-19,172.98
2001-04-20,166.14
2001-04-23,149.94
2001-04-24,141.9
2001-04-25,159.0
2001-04-26,159.0
2001-04-27,169.14
2001-04-30,174.9
2001-05-01,180.06
2001-05-02,190.08
2001-05-03,191.28
2001-05-04,204.9
2001-05-07,201.3
2001-05-08,198.72
2001-05-09,190.86
2001-05-10,184.74
2001-05-11,179.94
2001-05-14,181.8
2001-05-15,185.46
2001-05-16,192.24
2001-05-17,203.94
2001-05-18,204.06
2001-05-21,226.98
2001-05-22,228.0
2001-05-23,201.12
2001-05-24,199.2
2001-05-25,187.62
2001-05-29,174.24
2001-05-30,159.3
