,Adjusted Close
2024-02-02,4.53
2024-02-05,3.03
2024-02-06,2.1
2024-02-07,1.75
2024-02-08,1.16
2024-02-09,1.0
2024-02-12,0.9
2024-02-13,0.7
2024-02-14,0.81
2024-02-15,0.7
2024-02-16,0.68
2024-02-20,0.627
2024-02-21,0.5
2024-02-22,0.4062
2024-02-23,0.4802
2024-02-26,0.67
2024-02-27,0.6357
2024-02-28,0.5935
2024-02-29,0.5003
2024-03-01,0.473
2024-03-04,0.53
2024-03-05,0.545
2024-03-06,0.541
2024-03-07,0.739
2024-03-08,0.7752
2024-03-11,1.75
2024-03-12,1.44
2024-03-13,1.25
2024-03-14,1.3
2024-03-15,1.74
2024-03-18,2.72
2024-03-19,2.93
2024-03-20,2.7
2024-03-21,3.08
2024-03-22,3.23
2024-03-25,2.91
2024-03-26,2.89
2024-03-27,2.92
2024-03-28,2.75
2024-04-01,2.44
2024-04-02,2.62
2024-04-03,2.69
2024-04-04,2.95
2024-04-05,3.35
2024-04-08,3.9
2024-04-09,3.18
2024-04-10,3.22
2024-04-11,3.0
2024-04-12,2.77
2024-04-15,2.445
2024-04-16,2.2
2024-04-17,1.98
2024-04-18,1.5
2024-04-19,1.4
2024-04-22,1.37
2024-04-23,1.52
2024-04-24,1.98
2024-04-25,2.44
2024-04-26,2.3
2024-04-29,2.41
2024-04-30,2.1
2024-05-01,2.16
2024-05-02,2.44
2024-05-03,2.4
2024-05-06,2.38
2024-05-07,2.32
2024-05-08,2.42
2024-05-09,2.32
2024-05-10,2.23
2024-05-13,2.4
2024-05-14,2.36
2024-05-15,2.16
2024-05-16,2.2
2024-05-17,2.13
2024-05-20,2.13
2024-05-21,2.18
2024-05-22,2.14
2024-05-23,2.06
2024-05-24,2.42
2024-05-28,2.22
2024-05-29,2.15
2024-05-30,2.24
2024-05-31,2.09
2024-06-03,2.0
2024-06-04,2.06
2024-06-05,1.98
2024-06-06,1.88
2024-06-07,1.74
2024-06-10,1.41
2024-06-11,1.78
2024-06-12,1.81
2024-06-13,1.89
2024-06-14,2.12
2024-06-17,1.93
2024-06-18,0.688
2024-06-20,0.5701
2024-06-21,0.53
2024-06-24,0.5201
2024-06-25,0.4871
2024-06-26,0.4739
2024-06-27,0.44
2024-06-28,0.55
2024-07-01,0.5
2024-07-02,0.4717
2024-07-03,0.4481
2024-07-05,0.4649
2024-07-08,0.452
2024-07-09,0.449
2024-07-10,0.4242
2024-07-11,0.4291
2024-07-12,0.4549
2024-07-15,0.44
2024-07-16,0.4663
2024-07-17,0.4442
2024-07-18,0.45
2024-07-19,0.4252
2024-07-22,0.4346
2024-07-23,0.444
2024-07-24,0.4297
2024-07-25,0.409
2024-07-26,0.43
2024-07-29,0.4105
2024-07-30,0.4002
2024-07-31,0.413
2024-08-01,0.4183
2024-08-02,0.4011
2024-08-05,0.3906
2024-08-06,0.3799
2024-08-07,0.3746
2024-08-08,0.3748
2024-08-09,0.3672
