,Adjusted Close
2020-06-10,17.24
2020-06-11,17.17
2020-06-12,16.53
2020-06-15,17.1399
2020-06-16,17.99
2020-06-17,17.9037
2020-06-18,16.33
2020-06-19,16.4
2020-06-22,16.74
2020-06-23,16.8427
2020-06-24,16.5678
2020-06-25,16.7499
2020-06-26,16.43
2020-06-29,16.682
2020-06-30,16.475
2020-07-01,16.25
2020-07-02,15.791
2020-07-06,15.512
2020-07-07,13.77
2020-07-08,13.875
2020-07-09,13.6
2020-07-10,13.89
2020-07-13,14.445
2020-07-14,14.55
2020-07-15,14.16
2020-07-16,13.89
2020-07-17,13.93
2020-07-20,13.83
2020-07-21,13.752
2020-07-22,13.19
2020-07-23,12.56
2020-07-24,13.0
2020-07-27,13.25
2020-07-28,12.5
2020-07-29,12.15
2020-07-30,12.6
2020-07-31,13.58
2020-08-03,13.3435
2020-08-04,13.97
2020-08-05,13.65
2020-08-06,13.98
2020-08-07,13.11
2020-08-10,12.95
2020-08-11,12.8
2020-08-12,14.49
2020-08-13,13.35
2020-08-14,14.116
2020-08-17,14.0
2020-08-18,13.6948
2020-08-19,14.371
2020-08-20,13.85
2020-08-21,14.56
2020-08-24,14.22
2020-08-25,13.9799
2020-08-26,13.62
2020-08-27,13.54
2020-08-28,13.72
2020-08-31,14.5
2020-09-01,13.9881
2020-09-02,13.99
2020-09-03,14.0
2020-09-04,13.3
2020-09-08,13.06
2020-09-09,13.0645
2020-09-10,13.5829
2020-09-11,13.33
2020-09-14,13.28
2020-09-15,13.06
2020-09-16,12.71
2020-09-17,12.71
2020-09-18,13.18
2020-09-21,13.1
2020-09-22,12.7504
2020-09-23,13.075
2020-09-24,13.3
2020-09-25,13.175
2020-09-28,13.0
2020-09-29,13.0773
2020-09-30,12.3928
2020-10-01,12.3928
2020-10-02,12.3928
2020-10-05,12.98
2020-10-06,12.98
2020-10-07,12.745
2020-10-08,12.79
2020-10-09,12.5
2020-10-12,12.99
2020-10-13,12.99
2020-10-14,12.89
2020-10-15,12.33
2020-10-16,12.37
2020-10-19,12.64
2020-10-20,12.64
2020-10-21,12.65
2020-10-22,12.11
2020-10-23,12.465
2020-10-26,12.1103
2020-10-27,12.0
2020-10-28,11.68
2020-10-29,10.7
2020-10-30,10.7
2020-11-02,10.7
2020-11-03,10.0
2020-11-04,10.0
2020-11-05,9.1901
2020-11-06,9.88
2020-11-09,9.88
2020-11-10,9.88
2020-11-11,9.73
2020-11-12,9.3
2020-11-13,9.675
2020-11-16,9.02
2020-11-17,9.25
2020-11-18,9.25
2020-11-19,9.0
2020-11-20,9.0
2020-11-23,9.8
2020-11-24,9.82
2020-11-25,9.41
2020-11-27,9.31
2020-11-30,13.0
2020-12-01,12.08
2020-12-02,11.23
2020-12-03,11.21
2020-12-04,11.51
2020-12-07,12.74
2020-12-08,12.1
2020-12-09,12.04
2020-12-10,12.63
2020-12-11,12.99
2020-12-14,12.6568
2020-12-15,12.65
2020-12-16,11.96
2020-12-17,12.45
2020-12-18,12.2
2020-12-21,12.2
2020-12-22,11.81
2020-12-23,9.61
2020-12-24,10.38
2020-12-28,10.52
2020-12-29,10.47
2020-12-30,10.36
2020-12-31,10.54
2021-01-04,11.0
2021-01-05,10.87
2021-01-06,10.69
2021-01-07,10.28
2021-01-08,10.79
2021-01-11,10.53
2021-01-12,10.4
2021-01-13,10.25
2021-01-14,10.405
2021-01-15,10.2999
2021-01-19,10.16
2021-01-20,10.11
2021-01-21,10.13
2021-01-22,10.38
2021-01-25,10.38
2021-01-26,10.62
2021-01-27,10.8
2021-01-28,10.61
2021-01-29,10.51
2021-02-01,10.3
2021-02-02,10.22
2021-02-03,10.4
2021-02-04,10.63
2021-02-05,10.6
2021-02-08,10.97
2021-02-09,10.89
2021-02-10,11.18
2021-02-11,12.02
2021-02-12,12.75
2021-02-16,13.0
2021-02-17,13.85
2021-02-18,13.22
2021-02-19,13.55
2021-02-22,12.99
2021-02-23,12.035
2021-02-24,12.01
2021-02-25,12.19
2021-02-26,11.8
2021-03-01,11.03
2021-03-02,11.36
2021-03-03,11.18
2021-03-04,10.9477
2021-03-05,10.4
2021-03-08,10.4
2021-03-09,10.75
2021-03-10,11.17
2021-03-11,10.8
2021-03-12,10.4
2021-03-15,10.65
2021-03-16,10.6833
2021-03-17,10.37
2021-03-18,10.49
2021-03-19,10.6
2021-03-22,10.11
2021-03-23,10.035
2021-03-24,10.06
2021-03-25,10.89
2021-03-26,12.1
2021-03-29,12.18
2021-03-30,11.54
2021-03-31,10.55
2021-04-01,10.9
2021-04-05,10.5691
2021-04-06,10.85
2021-04-07,10.53
2021-04-08,10.49
2021-04-09,10.31
2021-04-12,10.3
2021-04-13,10.3
2021-04-14,9.83
2021-04-15,10.45
2021-04-16,10.31
2021-04-19,9.86
2021-04-20,9.973
2021-04-21,10.1595
2021-04-22,12.2
2021-04-23,13.29
2021-04-26,13.36
2021-04-27,12.0501
2021-04-28,12.68
2021-04-29,11.745
2021-04-30,10.65
2021-05-03,10.79
2021-05-04,10.6042
2021-05-05,10.6042
2021-05-06,10.7
2021-05-07,10.7
2021-05-10,12.99
2021-05-11,11.6
2021-05-12,11.045
2021-05-13,10.52
2021-05-14,10.6374
2021-05-17,11.4563
2021-05-18,11.0195
2021-05-19,10.5337
2021-05-20,10.6
2021-05-21,10.9599
2021-05-24,11.1367
2021-05-25,10.4
2021-05-26,12.7
2021-05-27,11.88
2021-05-28,11.65
2021-06-01,11.0
2021-06-02,11.32
2021-06-03,11.3856
2021-06-04,11.5296
2021-06-07,11.3022
2021-06-08,10.97
2021-06-09,10.95
2021-06-10,10.99
2021-06-11,11.4255
2021-06-14,11.07
2021-06-15,11.18
2021-06-16,10.88
2021-06-17,10.9975
2021-06-18,10.8663
2021-06-21,10.99
2021-06-22,10.95
2021-06-23,10.81
2021-06-24,10.8
2021-06-25,10.8
