,Adjusted Close
2020-11-18,2054.4
2020-11-19,2052.0
2020-11-20,2004.0
2020-11-23,2092.8
2020-11-24,1992.0
2020-11-25,1716.0
2020-11-27,1828.8
2020-11-30,1696.8
2020-12-01,1687.2
2020-12-02,1696.8
2020-12-03,1687.2
2020-12-04,1646.4
2020-12-07,1495.2
2020-12-08,1375.2
2020-12-09,1334.4
2020-12-10,1425.6
2020-12-11,1598.4
2020-12-14,1656.0
2020-12-15,1603.2
2020-12-16,1605.6
2020-12-17,1588.8
2020-12-18,1528.8
2020-12-21,1500.0
2020-12-22,1442.4
2020-12-23,1454.4
2020-12-24,1476.0
2020-12-28,1442.4
2020-12-29,1404.0
2020-12-30,1432.8
2020-12-31,1516.8
2021-01-04,1443.6
2021-01-05,1329.6
2021-01-06,1351.2
2021-01-07,1353.6
2021-01-08,1365.6
2021-01-11,1344.0
2021-01-12,1375.2
2021-01-13,1356.0
2021-01-14,1308.0
2021-01-15,1255.2
2021-01-19,1200.0
2021-01-20,1200.0
2021-01-21,1173.6
2021-01-22,1176.0
2021-01-25,1188.0
2021-01-26,1324.8
2021-01-27,1492.8
2021-01-28,1221.6
2021-01-29,804.0
2021-02-01,789.6
2021-02-02,760.8
2021-02-03,794.4
2021-02-04,787.2
2021-02-05,842.4
2021-02-08,876.0
2021-02-09,900.0
2021-02-10,885.6
2021-02-11,868.8
2021-02-12,873.6
2021-02-16,885.6
2021-02-17,873.6
2021-02-18,876.0
2021-02-19,902.4
2021-02-22,885.6
2021-02-23,808.8
2021-02-24,828.0
2021-02-25,808.8
2021-02-26,806.4
2021-03-01,825.6
2021-03-02,823.2
2021-03-03,816.0
2021-03-04,768.0
2021-03-05,703.2
2021-03-08,720.0
2021-03-09,782.4
2021-03-10,787.2
2021-03-11,792.0
2021-03-12,770.4
2021-03-15,780.0
2021-03-16,775.2
2021-03-17,782.4
2021-03-18,772.8
2021-03-19,780.0
2021-03-22,780.0
2021-03-23,748.8
2021-03-24,722.4
2021-03-25,700.8
2021-03-26,722.4
2021-03-29,720.0
2021-03-30,703.2
2021-03-31,720.0
2021-04-01,784.8
2021-04-05,734.4
2021-04-06,739.2
2021-04-07,703.2
2021-04-08,712.8
2021-04-09,640.8
2021-04-12,600.0
2021-04-13,518.4
2021-04-14,554.4
2021-04-15,578.4
2021-04-16,544.8
2021-04-19,564.0
2021-04-20,549.6
2021-04-21,580.8
2021-04-22,532.8
2021-04-23,537.6
2021-04-26,566.4
2021-04-27,561.6
2021-04-28,552.0
2021-04-29,537.6
2021-04-30,532.8
2021-05-03,528.0
2021-05-04,542.4
2021-05-05,542.4
2021-05-06,528.0
2021-05-07,554.4
2021-05-10,504.0
2021-05-11,494.4
2021-05-12,492.0
2021-05-13,484.8
2021-05-14,482.4
2021-05-17,480.0
2021-05-18,494.4
2021-05-19,487.2
2021-05-20,506.4
2021-05-21,480.0
2021-05-24,475.2
2021-05-25,487.2
2021-05-26,492.0
2021-05-27,544.8
2021-05-28,552.0
2021-06-01,556.8
2021-06-02,576.0
2021-06-03,631.2
2021-06-04,607.2
2021-06-07,568.8
2021-06-08,597.6
2021-06-09,540.0
2021-06-10,549.6
2021-06-11,542.4
2021-06-14,552.0
2021-06-15,544.8
2021-06-16,583.2
2021-06-17,537.6
2021-06-18,520.8
2021-06-21,516.0
2021-06-22,537.6
2021-06-23,561.6
2021-06-24,583.2
2021-06-25,564.0
2021-06-28,544.8
2021-06-29,530.4
2021-06-30,532.8
2021-07-01,528.0
2021-07-02,496.776
2021-07-06,494.4
2021-07-07,496.8
2021-07-08,496.8
2021-07-09,506.4
2021-07-12,518.4
2021-07-13,537.6
2021-07-14,513.6
2021-07-15,477.6
2021-07-16,470.4
2021-07-19,472.8
2021-07-20,487.2
2021-07-21,476.4
2021-07-22,468.0
2021-07-23,420.576
2021-07-26,374.4
2021-07-27,292.8
2021-07-28,266.4
2021-07-29,264.0
2021-07-30,295.2
2021-08-02,283.2
2021-08-03,280.8
2021-08-04,280.8
2021-08-05,273.6
2021-08-06,278.4
2021-08-09,283.2
2021-08-10,300.0
2021-08-11,290.4
2021-08-12,276.0
2021-08-13,285.6
2021-08-16,278.4
2021-08-17,264.0
2021-08-18,242.4
2021-08-19,243.6
2021-08-20,247.2
2021-08-23,256.8
2021-08-24,261.6
2021-08-25,271.2
2021-08-26,256.8
2021-08-27,244.8
2021-08-30,242.4
2021-08-31,254.4
2021-09-01,253.2
2021-09-02,252.0
2021-09-03,247.2
2021-09-07,254.4
2021-09-08,247.2
2021-09-09,244.8
2021-09-10,244.8
2021-09-13,240.0
2021-09-14,236.472
2021-09-15,238.776
2021-09-16,236.16
2021-09-17,235.488
2021-09-20,221.64
2021-09-21,223.2
2021-09-22,220.8
2021-09-23,223.2
2021-09-24,218.4
2021-09-27,204.0
2021-09-28,212.64
2021-09-29,202.848
2021-09-30,208.56
2021-10-01,206.592
2021-10-04,203.976
2021-10-05,202.656
2021-10-06,206.4
2021-10-07,222.888
2021-10-08,217.176
2021-10-11,220.8
2021-10-12,223.2
2021-10-13,237.576
2021-10-14,250.8
2021-10-15,252.0
2021-10-18,235.2
2021-10-19,240.0
2021-10-20,244.8
2021-10-21,235.152
2021-10-22,223.2
2021-10-25,230.304
2021-10-26,237.024
2021-10-27,249.6
2021-10-28,240.0
2021-10-29,239.424
2021-11-01,240.0
2021-11-02,239.472
2021-11-03,228.0
2021-11-04,230.328
2021-11-05,225.36
2021-11-08,220.82424
2021-11-09,224.952
2021-11-10,220.8
2021-11-11,220.8
2021-11-12,208.8
2021-11-15,226.464
2021-11-16,228.0
2021-11-17,223.44
2021-11-18,225.12
2021-11-19,216.0
2021-11-22,201.6
2021-11-23,185.712
2021-11-24,165.6
2021-11-26,155.952
2021-11-29,151.8
2021-11-30,158.664
2021-12-01,235.2
2021-12-02,191.976
2021-12-03,220.8
2021-12-06,213.6
2021-12-07,261.6
2021-12-08,249.6
2021-12-09,204.0
2021-12-10,182.4
2021-12-13,163.92
2021-12-14,146.64
2021-12-15,143.28
2021-12-16,142.896
2021-12-17,144.168
2021-12-20,143.496
2021-12-21,138.12
2021-12-22,137.64
2021-12-23,135.624
2021-12-27,142.032
2021-12-28,151.152
2021-12-29,160.824
2021-12-30,161.592
2021-12-31,165.6
2022-01-03,170.4
2022-01-04,167.736
2022-01-05,151.224
2022-01-06,147.336
2022-01-07,143.76
2022-01-10,147.168
2022-01-11,153.6
2022-01-12,176.4
2022-01-13,187.2
2022-01-14,216.0
2022-01-18,187.2
2022-01-19,175.224
2022-01-20,177.6
2022-01-21,170.4
2022-01-24,153.6
2022-01-25,160.776
2022-01-26,158.544
2022-01-27,156.72
2022-01-28,149.064
2022-01-31,146.64
2022-02-01,155.928
2022-02-02,147.6
2022-02-03,132.288
2022-02-04,132.264
2022-02-07,128.424
2022-02-08,129.624
2022-02-09,126.552
2022-02-10,127.224
2022-02-11,132.0
2022-02-14,129.84
2022-02-15,130.584
2022-02-16,129.6
2022-02-17,121.296
2022-02-18,121.296
2022-02-22,116.232
2022-02-23,121.896
2022-02-24,119.28
2022-02-25,119.352
2022-02-28,97.464
2022-03-01,105.528
2022-03-02,106.896
2022-03-03,100.344
2022-03-04,100.08
2022-03-07,91.464
2022-03-08,95.04
2022-03-09,96.0
2022-03-10,88.8
2022-03-11,79.872
2022-03-14,54.048
2022-03-15,58.56
2022-03-16,61.92
2022-03-17,60.576
2022-03-18,73.656
2022-03-21,66.24
2022-03-22,73.44
2022-03-23,75.6
2022-03-24,76.8
2022-03-25,72.408
2022-03-28,72.384
2022-03-29,81.36
2022-03-30,86.16
2022-03-31,78.0
2022-04-01,72.0
2022-04-04,71.28
2022-04-05,65.82024
2022-04-06,63.62424
2022-04-07,66.72
2022-04-08,68.4
2022-04-11,59.28
2022-04-12,61.752
