,Adjusted Close
2000-01-03,3.4375
2000-01-04,3.25
2000-01-05,2.95375
2000-01-06,1.7975
2000-01-07,1.64125
2000-01-10,1.68
2000-01-11,1.61
2000-01-12,1.65625
2000-01-13,1.70375
2000-01-14,1.80625
2000-01-18,1.735
2000-01-19,1.76625
2000-01-20,1.76625
2000-01-21,1.77375
2000-01-24,1.71125
2000-01-25,1.70375
2000-01-26,1.70375
2000-01-27,1.71125
2000-01-28,1.68
2000-01-31,1.6875
2000-02-01,1.7425
2000-02-02,1.71125
2000-02-03,1.75
2000-02-04,1.735
2000-02-07,1.805
2000-02-08,1.84375
2000-02-09,1.8125
2000-02-10,1.7975
2000-02-11,1.75
2000-02-14,1.6875
2000-02-15,1.68
2000-02-16,1.59375
2000-02-17,1.5075
2000-02-18,1.485
2000-02-22,1.485
2000-02-23,1.46875
2000-02-24,1.46875
2000-02-25,1.46875
2000-02-28,1.485
2000-02-29,1.445
2000-03-01,1.59375
2000-03-02,1.59375
2000-03-03,1.57
2000-03-06,1.53125
2000-03-07,1.5
2000-03-08,1.51625
2000-03-09,1.5475
2000-03-10,1.53125
2000-03-13,1.53875
2000-03-14,1.5475
2000-03-15,1.53875
2000-03-16,1.625
2000-03-17,1.60125
2000-03-20,1.555
2000-03-21,1.61
2000-03-22,1.59375
2000-03-23,1.75
2000-03-24,1.78125
2000-03-27,1.7975
2000-03-28,1.7975
2000-03-29,1.8675
2000-03-30,1.84375
2000-03-31,1.84375
2000-04-03,1.7975
2000-04-04,1.7325
2000-04-05,1.66375
2000-04-06,1.6875
2000-04-07,1.70375
2000-04-10,1.7575
2000-04-11,1.78125
2000-04-12,1.735
2000-04-13,1.6725
2000-04-14,1.625
2000-04-17,1.57875
2000-04-18,1.58625
2000-04-19,1.52375
2000-04-20,1.5625
2000-04-24,1.5625
2000-04-25,1.57875
2000-04-26,1.40625
2000-04-27,1.41375
2000-04-28,1.34375
2000-05-01,1.305
2000-05-02,1.375
2000-05-03,1.33625
2000-05-04,1.39125
2000-05-05,1.39125
2000-05-08,1.375
2000-05-09,1.34375
2000-05-10,1.3125
2000-05-11,1.33625
2000-05-12,1.33625
2000-05-15,1.2975
2000-05-16,1.32875
2000-05-17,1.26625
2000-05-18,1.26625
2000-05-19,1.2575
2000-05-22,1.234375
2000-05-23,1.234375
2000-05-24,1.234375
2000-05-25,1.1875
2000-05-26,1.21875
2000-05-30,1.1875
2000-05-31,1.17975
2000-06-01,1.1895
2000-06-02,1.226625
2000-06-05,1.3125
2000-06-06,1.43
2000-06-07,1.47625
2000-06-08,1.3825
2000-06-09,1.35125
2000-06-12,1.24225
2000-06-13,1.207
2000-06-14,1.234375
2000-06-15,1.25
2000-06-16,1.25
2000-06-19,1.2575
2000-06-20,1.2575
2000-06-21,1.211
2000-06-22,1.1055
2000-06-23,1.109375
2000-06-26,1.101625
2000-06-27,1.109375
2000-06-28,1.140625
2000-06-29,1.125
2000-06-30,1.101625
2000-07-03,1.26625
2000-07-05,1.1875
2000-07-06,1.26625
2000-07-07,1.25
2000-07-10,1.26625
2000-07-11,1.25
2000-07-12,1.25
2000-07-13,1.27375
2000-07-14,1.43
2000-07-17,1.375
2000-07-18,1.35125
2000-07-19,1.34375
2000-07-20,1.27375
2000-07-21,1.35125
2000-07-24,1.32875
2000-07-25,1.32875
2000-07-26,1.33625
2000-07-27,1.35125
2000-07-28,1.3125
2000-07-31,1.34375
2000-08-01,1.36
2000-08-02,1.34375
2000-08-03,1.203125
2000-08-04,1.09375
2000-08-07,1.109375
2000-08-08,1.11725
2000-08-09,1.11725
2000-08-10,1.109375
2000-08-11,1.140625
2000-08-14,1.132875
2000-08-15,1.1855
2000-08-16,1.171875
2000-08-17,1.171875
2000-08-18,1.164125
2000-08-21,1.15625
2000-08-22,1.15625
2000-08-23,1.15625
2000-08-24,1.15625
2000-08-25,1.125
2000-08-28,1.0625
2000-08-29,1.05075
2000-08-30,1.070375
2000-08-31,1.070375
2000-09-01,1.0625
2000-09-05,1.05475
2000-09-06,1.0625
2000-09-07,1.09375
2000-09-08,1.086
2000-09-11,1.1875
2000-09-12,1.1875
2000-09-13,1.226625
2000-09-14,1.25
2000-09-15,1.33625
2000-09-18,1.32875
2000-09-19,1.2975
2000-09-20,1.2975
2000-09-21,1.305
2000-09-22,1.305
2000-09-25,1.3125
2000-09-26,1.33625
2000-09-27,1.2975
2000-09-28,1.305
2000-09-29,1.2975
2000-10-02,1.2975
2000-10-03,1.26625
2000-10-04,1.2575
2000-10-05,1.25
2000-10-06,1.234375
2000-10-09,1.171875
2000-10-10,1.164125
2000-10-11,1.132875
2000-10-12,1.101625
2000-10-13,1.109375
2000-10-16,1.078125
2000-10-17,1.082
2000-10-18,1.0625
2000-10-19,1.015625
2000-10-20,1.0
2000-10-23,0.99225
2000-10-24,1.0
2000-10-25,0.953125
2000-10-26,0.96875
2000-10-27,0.984375
2000-10-30,1.015625
2000-10-31,1.101625
2000-11-01,1.125
2000-11-02,1.109375
2000-11-03,1.03125
2000-11-06,1.007875
2000-11-07,1.003875
2000-11-08,0.99225
2000-11-09,1.0
2000-11-10,0.996125
2000-11-13,1.0
2000-11-14,1.007875
2000-11-15,1.015625
2000-11-16,0.984375
2000-11-17,1.015625
2000-11-20,1.0
2000-11-21,0.98825
2000-11-22,0.96875
2000-11-24,1.0
2000-11-27,1.0
2000-11-28,1.007875
2000-11-29,1.007875
2000-11-30,1.0
2000-12-01,1.0
2000-12-04,1.0
2000-12-05,1.0
2000-12-06,0.976625
2000-12-07,1.0
2000-12-08,0.996125
2000-12-11,0.976625
2000-12-12,0.976625
2000-12-13,0.961
2000-12-14,0.961
2000-12-15,0.878875
2000-12-18,0.86725
2000-12-19,0.953125
2000-12-20,1.0
2000-12-21,0.99225
2000-12-22,0.99225
