,Adjusted Close
2014-09-22,121.82
2014-09-23,119.36
2014-09-24,124.17
2014-09-25,120.69
2014-09-26,120.8
2014-09-29,121.31
2014-09-30,119.62
2014-10-01,118.15
2014-10-02,118.45
2014-10-03,122.07
2014-10-06,119.07
2014-10-07,117.52
2014-10-08,119.85
2014-10-09,118.93
2014-10-10,116.95
2014-10-13,114.41
2014-10-14,113.2
2014-10-15,111.06
2014-10-16,111.92
2014-10-17,114.99
2014-10-20,116.23
2014-10-21,120.43
2014-10-22,118.87
2014-10-23,119.77
2014-10-24,120.21
2014-10-27,120.34
2014-10-28,120.0
2014-10-29,122.2
2014-10-30,123.29
2014-10-31,126.69
2014-11-03,126.31
2014-11-04,126.83
2014-11-05,127.03
2014-11-06,127.8
2014-11-07,124.15
2014-11-10,125.5
2014-11-11,126.62
2014-11-12,126.64
2014-11-13,126.63
2014-11-14,125.36
2014-11-17,127.27
2014-11-18,129.04
2014-11-19,125.82
2014-11-20,126.25
2014-11-21,125.89
2014-11-24,126.14
2014-11-25,127.15
2014-11-26,126.9
2014-11-28,127.91
2014-12-01,127.77
2014-12-02,128.71
