,Equally-Weighted
2006-01-04,0.0009083838776979664
2006-01-05,-0.00025352380575534484
2006-01-06,0.007148845981015586
2006-01-09,0.001836813017041714
2006-01-10,-0.00024132606344031836
2006-01-11,0.006095859062222925
2006-01-12,-0.007935237734189167
2006-01-13,-0.0005235782467780859
2006-01-17,-0.005192679012238139
2006-01-18,-0.005282113057092314
2006-01-19,0.00025341187159647467
2006-01-20,-0.02252523166353262
2006-01-23,0.00027673033264632914
2006-01-24,-0.0004219487341551818
2006-01-25,0.0004370527330701059
2006-01-26,0.003117668979925506
2006-01-27,0.007789872763058729
2006-01-30,0.0016811361548561277
2006-01-31,-0.0058762940877816455
2006-02-01,0.0037882534243850424
2006-02-02,-0.007441967296989945
2006-02-03,-0.007755992159297439
2006-02-06,-0.002278526538246315
2006-02-07,-0.003497536273313462
2006-02-08,0.013938212278944423
2006-02-09,0.0007516363699689775
2006-02-10,0.003448676551647267
2006-02-13,-0.004659572831058831
2006-02-14,0.008479512814490473
2006-02-15,0.005215097065330999
2006-02-16,0.004834671267840109
2006-02-17,-0.0009778230545571562
2006-02-21,-0.002888237756497364
2006-02-22,0.004661873223742286
2006-02-23,-0.0020986867923065487
2006-02-24,0.00198959288790944
2006-02-27,0.003283279726764345
2006-02-28,-0.007378204556212131
2006-03-01,0.007397803950683735
2006-03-02,-0.0044328544367751915
2006-03-03,-0.0006808059927895477
2006-03-06,-0.0026933975340629
2006-03-07,0.0016904892687583722
2006-03-08,0.003953718077327909
2006-03-09,-0.005409578935908425
2006-03-10,0.007358244571055083
2006-03-13,0.0013927207225409278
2006-03-14,0.00590395505654262
2006-03-15,0.0024326869753571673
2006-03-16,0.0016810910490089514
2006-03-17,0.0013899461071402838
2006-03-20,0.0012311371329253888
2006-03-21,-0.0033555746664789107
2006-03-22,0.005184430355949874
2006-03-23,-0.00510546920441852
2006-03-24,0.0012103885995346695
2006-03-27,-0.0012707286932711307
2006-03-28,-0.009350683088046194
2006-03-29,0.004045267555484617
2006-03-30,-0.0005541399163106736
2006-03-31,-0.004659723410831132
2006-04-03,0.0016306146903818295
2006-04-04,0.0044782619990237195
2006-04-05,0.0022327689779514668
2006-04-06,-0.005428360654664084
2006-04-07,-0.009809707723144972
2006-04-10,0.001121272266549029
2006-04-11,-0.006227065571757514
2006-04-12,0.0002914453085354436
2006-04-13,0.0023343732084222884
2006-04-17,-0.005636806236810319
2006-04-18,0.014472599125314432
